关键词,店铺名称,店铺链接,地理位置,产品名称,产品价格,付款人数,图片地址,商品链接,商品id,当前页面网址,当前时间,页码
休闲裤,回头客4万淑媚诗旗舰店,https://click.simba.taobao.com/cc_im?p=%D0%DD%CF%D0%BF%E3&s=1101613297&k=2285&e=DeET5%2BnplWTU8HtpGpZsj5NLtKfQnEDhPpVNcyMd%2FbnDRKFUU7P9xn7BcdjWcoOmWbThya4obbksTlQpXvxoJGXSh7cvSrUrhrnSJU%2FYzh%2Bb6TfwFgbzdkrRv3V6kFJ029b6iw2wOjf84A41brqhC6zJhRu4qsku7GJmFr0xV8ibPf3y16HSSWAscHkHxO9ZX963lT4M6Z35G2ZkkSUNCaGE98QOE9cdhogvB%2BA5eQDcftInFlN%2BIU6tuIidbcAC4JTlHGyrt1nLzQsqnBWQwM%2Fw8OsbEVVeQkIuwmJxtjIwHdEfgdeZfanK3uEdD0yuwR1bDjWPtUe1plavZB%2BE8ywKXG0lXjmq%2FR4%2BmPOlq7WXliOBLbMzprlquRjW57vAOvdJq5iU8y9ClEwLTyqSRaf3e2MErwx%2F2i2ImJhRrzfUJQuo%2BqQ3mJBlxKFbzJpALAIHTIs9bazGWAD1pBvofKC6a%2FfPD%2Fo%2BLtcHtuFtZ5wcVT3iEEXhn%2FYyQLM%2BrEx4nIxQsUlE6je2ztoh%2BdO8B5aYY8gdom34q6bv4RyiGWUixZFJIQrk4eexzrAM%2BztMHeF4Y7vEszx%2FfnAG0hfiUMQUpI6YUYfDwYosB2drtIM4mtvcYfYEo82H1vhwQwiV%2BC0Xw7VJywGkBjxAR3IU20UqJJHQ7H%2BgX3aiqNgeaHyoyPnA%2BDqgczR0O760XusgX9j6T6JOI%2BjazM%2BOwnwepVpKKx5gz8zr9jJAsz6sTHgdFN%2FPPYHDxUeMGITMJg6g8E930g%2BMs4yK%2FFb3u0btkowl8k6kupLOiaFvnzig4wyCIcSc9g%2BHIq7HLc6WSHr3uEgNhXSbpCKu3fIooInUo3wuXKGGDyfwBtezOc9iqm7FYrGcr23apLp3nINrbtGUUQXkRBSBYDqQmWWlqonar4%2FcWXeKt3je4TcdPkmIxZ0vrBVzmSBcasB5BUWxMePgLgqkcwp1ahvticNx78NwLt6IpRbQ%2BW9dFecQM7EcY0y7PdIcIzhzpqcoJyPSQy8EWm6KxvkneLx0EUm%2FA%2F%2BjVjEYIpaW3Al9EyH0hRioOT8pJ7DBj%2FR96%2BT2o2rrB%2Bl%2F%2BiPwEpyCkdZOWGm%2BA%2FMQagWubkVQxH6xpmT%2FtuOb5j9AsiZr%2Bs8Wx55TER8s4t%2Fg2DfLgLvj8LwNLYynP57H%2BhIKS1ewyKRaYdtAzc5VULbaNbTOaoyraVe1beYCQYAS%2B4JYnko0nvrwWFjvOFEqNMTCc0ttIv0fmz%2FSD8hflesm3SeYBXutDBVdrCFwrpTYcOuYJgSO0dH67BNTfe9GCw04xg1n8PKiZyJEHC4%2BVuHBn0uO3gdARKN%2BXrLOfrdHNo3sPg47gZQ4iD7rtKfiYOjVITuR62pL3ZeTiutkSmP9YYVUzFAPOq8Q6N%2FllLN5aYs%2Fj4g1sWziSBE2mZp9YocoPfKlMiTy1ZEJB98eLaRjo%2FZc2rvpODzVePJuIs3iPtg1yJptRfn%2F4DZ%2F%2BWGBgr7XwMrp0fCf5%2FsDcOpgCqGVUEOcw8cUffHKfqJF8VCscM6D5LpKq4xkqY6PgHLywTkV4irgMV0ofu9eagw9%2BwBwzoPkukqrjLH8QeikjYE8fxp3FX95kFNdRK8nOvbwuzI3zuP%2Fy10dMXlLvzkDGMiRphM0oxxf%2FCr1IjHHLqpopD8QrJq4TSi69U6NzpBQnLwrr0kqjMFxazRiydMPoc0%2BBkRinDqczvXPv5e4xI8P7zkEEzWajbn%2BXa74QfMe3LsEZ2fiG98bis0Gojly1Lcwa1IUhtBX9oiy3Yr9CY6l7rFZUNDZoA%2BnNyGSEBDeW8FF0201s2kgTHwfsbQ2N%2BUpglqMUlCQseqW073ypdmy%2Bn4HxgxdMnJNrqydGWxesdk%2BY1O7vMuQ5AZpRGE%2BJq%2Bvu3RHLEOULhrYJ49PHD5iX3YTcpY4y%2BOElfMZhgzmo1kPvomIly6%2FUyECOYU05lZs0FHvMppTDARbkdiQY17Aar%2FDdN55xsunhlxns%2BQuogscZKC72R%2F3BWA3iQstyUbTM3cNhA%2BXftyc1pBUguy0uy2u4y1oG7puy3bZhSGQjlFLZ5aQD%2FvwOBicKE0kmOVj7hA%2FrQ1DRJrLWmL%2B3QbrE1qdJ3Fg3xEroi8GVaQiYmh6IoiZ5%2BhBsbTQdIrUz4bqVvVRHR3mRON0xiTTomdqw4ywYJc9KF7NKPNz0EYj29CrIy2QJso25j5WPtMopD3qFbrlwOU52D3pekzmsVgzOG8yKU5iWHRUvTOd%2Fi1ejafRTen4q40LTahPBXACdx8%3D&mm_sceneid=0_0_215520017_0&spm=a21n57.1.item.1,浙江杭州,灰色春秋弯刀夏季薄款冲锋裤女防水防风滑雪裤小个子速干工装裤子,¥53.1,1万+人付款,"https://g-search3.alicdn.com/img/bao/uploaded/i4/i3/4160939436/O1CN016Cbwd52JZkNqZVUWb~crop,100,0,600,800~_!!4611686018427381164-0-item_pic.jpg_360x360q90.jpg_.webp",https://click.simba.taobao.com/cc_im?p=%D0%DD%CF%D0%BF%E3&s=1101613297&k=2317&e=0EEpPaVSkFLU8HtpGpZsj5NLtKfQnEDhPpVNcyMd%2FbnDRKFUU7P9xn7BcdjWcoOmWbThya4obbksTlQpXvxoJGXSh7cvSrUrhrnSJU%2FYzh%2Bb6TfwFgbzdkrRv3V6kFJ029b6iw2wOjf84A41brqhC6zJhRu4qsku7GJmFr0xV8ibPf3y16HSSWAscHkHxO9ZX963lT4M6Z35G2ZkkSUNCaGE98QOE9cdhogvB%2BA5eQDcftInFlN%2BIU6tuIidbcAC4JTlHGyrt1nLzQsqnBWQwM%2Fw8OsbEVVeQkIuwmJxtjIwHdEfgdeZfanK3uEdD0yuwR1bDjWPtUe1plavZB%2BE8ywKXG0lXjmq%2FR4%2BmPOlq7WXliOBLbMzprlquRjW57vAOvdJq5iU8y9ClEwLTyqSRaf3e2MErwx%2F2i2ImJhRrzfUJQuo%2BqQ3mJBlxKFbzJpALAIHTIs9bazGWAD1pBvofKC6a%2FfPD%2Fo%2BLtcHtuFtZ5wcVT3iEEXhn%2FYyQLM%2BrEx4nIxQsUlE6je2ztoh%2BdO8B5aYY8gdom34q6bv4RyiGWUixZFJIQrk4eexzrAM%2BztMHeF4Y7vEszx%2FfnAG0hfiUMQUpI6YUYfDwYosB2drtIM4mtvcYfYEo82H1vhwQwiVyhBWqFENqOcHPK%2FqGxzpib%2F%2BZRxTBosnKpawSmtjFQ2QQ%2FDoHwl8j9SZNqQ4wUZEcTZmETzk7heoSFEhYwVaqtKDC3GgKnsB7S8MtmpM0kwMb%2F7sDLMeuZbrnxN8%2FpeVQqOVvFJTHHLZ3eCuoLY0L9T24uetUPCDEIGH2rGtiCBBOBLZzjEUTuLgRDqsO9N7z3uA0Xu6S7VUoFB2MNoTO9LO%2B%2FF2mI1SwbVOXD8XdvcSWJJMpaeMGS0wBC4YgpjX94hOG%2FnXWdEqqoPaZB6yn6%2BD6LpxcaGQF9UmH7%2BWHEqjU3g7zHcyaezKyvi7sobfy7iUYklKllDKCHA2UBg5K71KlQ2n3jYsYY5xLt75KoImqFFG0uKLFyd3u5Vyy1epTEaw9FljBboZ8ZaS8%2BIsh%2F0MMU436R9NYfA4Ahd4RlmLLXsfeZhZGMPBIDYECv5orEoswqEqrdybgQgwAlllqfKIP43ZEwpo7kYjDz864O2erflvREW1UgPBPkD308qsJldttlqcGztkanUtAL6ZOJP1iV9xOH3z9rqknUmrhW45cHa7Y%2FcAVe2rpByHiO97nVYHfD5GYtuYR6qW4efQLzaL9cUMxlirHeF4Y7vEszx%2FfnAG0hfiUMQUpI6YUYfDwYosB2drtIM4mtvcYfYEo6T4wEfMjMuQyD4Ja4xdz2SEs9U2cpa55rt%2Fn9HTbup%2Fr%2B3YUP2I9GxzP8cGxdXW6zzar8cnzDwZPJocNyEHqv89H%2BA9IYyDTnqSdwiMeHlHoIOwwcbCVbc%2B0PnAVNA%2FrOwwNykPbnKaOuDfibnYNOAd0RJvfAf%2Bg%2FgeBUl2ZGCCQohTu0IWKxHg1xdoq9gnfgfMNPF1%2BwZzfD897UcXrP%2BBt6IKoSpVR%2FqPAC9QJfK7Nm%2BWcuiljYbZDt8kbkulmx1g0CGq%2BQKzBT9MyrbSk5V8Llyhhg8n8J2xUpZEu%2FsjEp3wVurreyc1yEWAHgm0z3wuXKGGDyfwGf4S8T2klESk5UHk%2FfLoNXu5yXWCHgvKWBkLz1z7YqmW4dadKlMZlmakwTtqJA4WgSlRVTGugj3RhUSAvFxEG19KI5LhWa%2BQYlTARF6l31VKFnxN6EQaDImkuse%2FEGR%2B9%2FKcvgknD%2FuVjnmeAP4%2F8UBXi%2Flh5J0Slt%2BhfyriEuP9jmGsRqO5X%2BmYg9Y3wTXY0RI6p62g02nWXNcJoRRuXHbEACwrxrZ2brHS%2BYhXKntnrMffdg3IsGftLu70AImTdSxdtyBFZ9%2BsSx26%2FrSUYcd81yLEoqXqWCKY8oAyVA8JzmINe1z5fH4udj5YvinomwZRA4fJ%2BtW2HJIzS767GE5ssR%2Fnu8EhgxrjLFinkhJSMh5B7MrlhMKBKFtvJqFgKT5hlTJXo%2FwmaUhG8wnZDBfnQwsm8vTyErtQy9xn%2BrzLu0c%2B6kzbTk4ODgaWkJLGhPlh5Ajz5lPQbGJM0BqSvxbkE9Jmga9R6Tz0ebd3Pc3t2J0s%2FdxCOKgwqzxh9ZFiFeMEb4P%2F8ndGpDlRnRroGyFOn%2Fnn6mvAUlZkKjS60CfgyFrBFssyn7p3nINrbtGUwUGPaefP%2BEdxNmYRPOTuF96Li%2FUTZ3Q6kwWjNCdi%2FDJojdq5PkxmJDia29xh9gSja1UZB8%2BQhJxd4VZNYh1v4fdpAQRh1%2Fg7F82euXDlZyA%3D&mm_sceneid=0_0_215520017_0&a=xxc%3Dad_ztc%26mi_id%3D0000GglUwg3mGfsTJt7RaRXQImmtrOyM87g3_Qzw5-cq15s%26skuId%3D6144472267606%26priceTId%3D213e07bb17753984985934118e1416%26utparam%3D%2525257B%25252522aplus_abtest%25252522%2525253A%25252522642484733d99b383d6870ca9f69f2ad2%25252522%2525257D%26&id=996110731534&spm=a21n57.1.item.1,,https://s.taobao.com/search?page=1&q=%E4%BC%91%E9%97%B2%E8%A3%A4&spm=a21n57.1.search_manual.0&tab=all,2026-04-05 22:15:42.756,1
休闲裤,回头客30万博来彩旗舰店,https://store.taobao.com/shop/view_shop.htm?appUid=RAzN8HWYpjtSPjLdzXwWxXscokU69o4YCxcPFnxJQELxP2kLTr3&spm=a21n57.1.item.2,广东揭阳,松弛感慵懒风波点糯米裤子女秋冬2025新款加绒加厚宽松直筒阔腿裤,¥44.98,9000+人付款,https://g-search3.alicdn.com/img/bao/uploaded/i4/i2/2829247356/O1CN01KcSwkJ24D6SxIonIu_!!4611686018427380604-0-item_pic.jpg_360x360q90.jpg_.webp,https://detail.tmall.com/item.htm?id=849797995953&ns=1&abbucket=6&xxc=taobaoSearch&mi_id=0000EbRhIB_qIhwLag_OPR_sHLnwCMMPFWak4vDiwKXtnnI&skuId=5807879610681&priceTId=213e07bb17753984985934118e1416&utparam=%7B%22aplus_abtest%22%3A%221ff43ea6bbb4de0780169ef70ac39503%22%7D&spm=a21n57.1.item.2,5807879610681,https://s.taobao.com/search?page=1&q=%E4%BC%91%E9%97%B2%E8%A3%A4&spm=a21n57.1.search_manual.0&tab=all,2026-04-05 22:15:42.796,1
休闲裤,回头客4万名创优品服饰旗舰店,https://store.taobao.com/shop/view_shop.htm?appUid=RAzN8HWatUPYgLUMea6DbocNkTTg2r3RiWQA7iTsbxaSPAHryxd&spm=a21n57.1.item.3,湖北荆门,MINISO/名创优品山本裤子女夏季2026新款阔腿裤白色奶芙裤休闲裤J,¥47.77,,https://g-search3.alicdn.com/img/bao/uploaded/i4/i4/2217051217872/O1CN01N5rfGY281QxbkOZQB_!!4611686018427387856-0-item_pic.jpg_360x360q90.jpg_.webp,https://detail.tmall.com/item.htm?id=1029912346117&ns=1&abbucket=6&xxc=taobaoSearch&mi_id=0000cYWU_EuuX-Zx5-uKl6E9AENkguuLKubQzGPS_uz6dYU&skuId=6043719705744&priceTId=213e07bb17753984985934118e1416&utparam=%7B%22aplus_abtest%22%3A%2220dcb98c543f80b9a2b4e2d7267c5219%22%7D&spm=a21n57.1.item.3,6043719705744,https://s.taobao.com/search?page=1&q=%E4%BC%91%E9%97%B2%E8%A3%A4&spm=a21n57.1.search_manual.0&tab=all,2026-04-05 22:15:42.868,1
休闲裤,回头客1万棉先知旗舰店,https://store.taobao.com/shop/view_shop.htm?appUid=RAzN8HWas5CHnNuN7yvdzm4Uiqx2XBzNqENuKDSKdzybTubtigZ&spm=a21n57.1.item.4,浙江绍兴,灰色裤子女春秋夏2026新款垂感直筒窄版阔腿裤高腰瑜伽裤运动卫裤,¥80.98,4万+人付款,https://g-search3.alicdn.com/img/bao/uploaded/i4/i2/2215551447541/O1CN01ayivd125ZprGTE0gn_!!4611686018427384309-0-item_pic.jpg_360x360q90.jpg_.webp,https://detail.tmall.com/item.htm?id=975795916816&ns=1&abbucket=6&xxc=taobaoSearch&mi_id=0000DDQ18NVLU7YOEhOjtswzqtusJivG0hUnkLOYaUGGZdU&skuId=6094096651727&priceTId=213e07bb17753984985934118e1416&utparam=%7B%22aplus_abtest%22%3A%221b8d85cee9fabafc83d1d2d5707e564b%22%7D&spm=a21n57.1.item.4,6094096651727,https://s.taobao.com/search?page=1&q=%E4%BC%91%E9%97%B2%E8%A3%A4&spm=a21n57.1.search_manual.0&tab=all,2026-04-05 22:15:42.924,1
休闲裤,回头客4万名创优品服饰旗舰店,https://store.taobao.com/shop/view_shop.htm?appUid=RAzN8HWatUPYgLUMea6DbocNkTTg2r3RiWQA7iTsbxaSPAHryxd&spm=a21n57.1.item.5,湖北荆门,MINISO/名创优品糯米裤子女2026春夏新款运动裤阔腿小个子休闲裤J,¥49.9,3000+人付款,https://g-search1.alicdn.com/img/bao/uploaded/i4/i2/2217051217872/O1CN01iMWVF9281QwmzyR4C_!!4611686018427387856-0-item_pic.jpg_360x360q90.jpg_.webp,https://detail.tmall.com/item.htm?id=1011241643296&ns=1&abbucket=6&xxc=taobaoSearch&mi_id=0000VA06S5Iu91qsBlUM0F5MKGLn27OsuDhIOlthzATcvII&skuId=6031709329786&priceTId=213e07bb17753984985934118e1416&utparam=%7B%22aplus_abtest%22%3A%22e722b728fd4ed8519a361c201c651a76%22%7D&spm=a21n57.1.item.5,6031709329786,https://s.taobao.com/search?page=1&q=%E4%BC%91%E9%97%B2%E8%A3%A4&spm=a21n57.1.search_manual.0&tab=all,2026-04-05 22:15:42.972,1
休闲裤,回头客30万欧朵妮旗舰店,https://store.taobao.com/shop/view_shop.htm?appUid=RAzN8HWZ7TfKmDYDBwhQNgtaxMq9f8W3Z35rYMDwqLLRSx7M5pV&spm=a21n57.1.item.6,浙江金华,白色奶芙冰丝山本裤女夏2026年新款高腰垂感宽松休闲肌理感阔腿裤,¥38.22,9万+人付款,https://g-search3.alicdn.com/img/bao/uploaded/i4/i3/1851090991/O1CN01QaIHLr1JBvSbOAnyK_!!0-item_pic.jpg_360x360q90.jpg_.webp,https://detail.tmall.com/item.htm?id=799420377274&ns=1&abbucket=6&xxc=taobaoSearch&mi_id=0000s0fg21c5qbQWg9oDoxfKaRaBB8J6HlnETPAP3yJ32hg&skuId=5617347655604&priceTId=213e07bb17753984985934118e1416&utparam=%7B%22aplus_abtest%22%3A%2284e75fbfe3a249590359fcf43d09bef0%22%7D&spm=a21n57.1.item.6,5617347655604,https://s.taobao.com/search?page=1&q=%E4%BC%91%E9%97%B2%E8%A3%A4&spm=a21n57.1.search_manual.0&tab=all,2026-04-05 22:15:43.020,1
休闲裤,银河一只猫,https://store.taobao.com/shop/view_shop.htm?appUid=RAzN8HWaqJanbDCMM76GVTJ7ojFdvpxkCaVJUUBhVQmHdGsfkpZ&spm=a21n57.1.item.7,广东广州,梨型身材米杏色直筒牛仔裤女春季新款胖妹妹mm高腰显瘦垂感阔腿裤,¥67.1,1万+人付款,https://g-search2.alicdn.com/img/bao/uploaded/i4/i1/2211366228351/O1CN010jJqaR2BYoa6CEzS3_!!2211366228351.jpg_360x360q90.jpg_.webp,https://item.taobao.com/item.htm?id=891676527168&ns=1&abbucket=6&xxc=taobaoSearch&mi_id=0000uhYqCGUHn4oOdy5hEswT_wajm1DJEIsKLaiMjyDRnL4&skuId=5924921339589&priceTId=213e07bb17753984985934118e1416&utparam=%7B%22aplus_abtest%22%3A%224ded54f553feb0ed227dadb59519071b%22%7D&spm=a21n57.1.item.7,5924921339589,https://s.taobao.com/search?page=1&q=%E4%BC%91%E9%97%B2%E8%A3%A4&spm=a21n57.1.search_manual.0&tab=all,2026-04-05 22:15:43.073,1
休闲裤,Gardenia栀子花开了,https://store.taobao.com/shop/view_shop.htm?appUid=RAzN8HWaqsv8qFi9BtXZUfdRmQErgG2ACKjDZMivWvcCNpWDdiW&spm=a21n57.1.item.8,广东广州,美式复古卡其色直筒牛仔裤女2026年春季新款中高腰宽松显瘦阔腿裤,¥99,1000+人付款,"https://g-search1.alicdn.com/img/bao/uploaded/i4/i2/2216646171919/O1CN01zzQMME1Q2xAkPsZwV~crop,0,37,2286,3048~_!!2216646171919.jpg_360x360q90.jpg_.webp",https://item.taobao.com/item.htm?id=1019330367312&ns=1&abbucket=6&xxc=taobaoSearch&mi_id=0000ellSOerB5uC1FCJZoW9hXzfrLV3cYHGxyEiwmefUdgM&skuId=6195969726387&priceTId=213e07bb17753984985934118e1416&utparam=%7B%22aplus_abtest%22%3A%220cfb507b253ce404623e8751f6fd1678%22%7D&spm=a21n57.1.item.8,6195969726387,https://s.taobao.com/search?page=1&q=%E4%BC%91%E9%97%B2%E8%A3%A4&spm=a21n57.1.search_manual.0&tab=all,2026-04-05 22:15:43.122,1
休闲裤,银河睡着了,https://store.taobao.com/shop/view_shop.htm?appUid=RAzN8HWWf4kEeQJheC51ASn1U9GfgcCSfdh8mJMXAhqgzUEewqH&spm=a21n57.1.item.9,广东揭阳,小狗糯米裤垂坠感软糯休闲裤遛弯裤宽松慵懒风裤子女2026新款长裤,¥32.07,1000+人付款,https://gw.alicdn.com/imgextra/O1CN01XVG5by2KlUAcdbzWm_!!2212760799597-0-picasso.jpg_360x360q90.jpg_.webp,https://item.taobao.com/item.htm?id=979410104838&ns=1&abbucket=6&xxc=taobaoSearch&mi_id=0000EiNmQ4GWdVBBaR7bTQbDWQ6eQ_j8UGteB0YAitPPAMk&skuId=5944303364815&priceTId=213e07bb17753984985934118e1416&utparam=%7B%22aplus_abtest%22%3A%228c14ba22237ff5c360cf85efd374bbd6%22%7D&spm=a21n57.1.item.9,5944303364815,https://s.taobao.com/search?page=1&q=%E4%BC%91%E9%97%B2%E8%A3%A4&spm=a21n57.1.search_manual.0&tab=all,2026-04-05 22:15:43.168,1
休闲裤,回头客50万loannina旗舰店,https://store.taobao.com/shop/view_shop.htm?appUid=RAzN8HWRaxgmEA6kttmyGTjsx8vqgdKuvTzNcz2fcT5e7Tbwc2P&spm=a21n57.1.item.10,浙江金华,藏青色波点微喇叭裤女春秋2026新款高腰显瘦小个子运动裤遛弯裤子,¥53.1,,https://g-search2.alicdn.com/img/bao/uploaded/i4/i2/3191525736/O1CN01jEZYQC1sF8xkNKLou_!!4611686018427384168-0-item_pic.jpg_360x360q90.jpg_.webp,https://detail.tmall.com/item.htm?id=1034349498947&ns=1&abbucket=6&xxc=taobaoSearch&mi_id=0000QIJCMujchjMaBCKzt7hulz61YQJ_dievhJgWycFmqyg&skuId=6214974726362&priceTId=213e07bb17753984985934118e1416&utparam=%7B%22aplus_abtest%22%3A%22d01ccaa6ed34cb0ec7893cef0c85fe45%22%7D&spm=a21n57.1.item.10,6214974726362,https://s.taobao.com/search?page=1&q=%E4%BC%91%E9%97%B2%E8%A3%A4&spm=a21n57.1.search_manual.0&tab=all,2026-04-05 22:15:43.221,1
