关键词,店铺名称,店铺链接,地理位置,产品名称,产品价格,付款人数,图片地址,商品链接,商品id,当前页面网址,当前时间,页码
裙子,回头客1万早安亲爱的衣柜,https://click.simba.taobao.com/cc_im?p=%C8%B9%D7%D3&s=813744359&k=2305&e=OVOwlMYx%2BZcVkW45V3uCvbhqK%2BtC5MkeXvEb1pzq1l%2FXB03fPkXzhAYjbZndmpRzz7Io5ym2RxYS5J2eUsrJEz6s70PO4hbcimAHfajnwMi3DDvxHT3I6YeWYMf2AG8Yi65c2K8AnWAbbMW8PeMj27H59E5quEKA5REnu9YRcbp9vcEx%2BUU37XPUOHTVYNsZxWbf5T1fPETZLdIZB4BTRUUt%2BvsENbhJJE12zR5ZaR3edyMeUWwCP5jcjb%2BaooC4GmNUFsCZ2vFEhJCOMgOyf4pK2cDwI%2FN17uA3LkQFmgPNr0qH5WYffDIKvE6Eas%2Bqa%2BWLRQhjh%2BZOLMu8iiUuBbgobOsUxBtdLmlNQxYHJ9fZKFnx5OmyY2TfXOU1oVPPgB6hW6bzDjOYRj9eC0mMITXrAcVHw4TQpL7WTUOKzy0Tcj2F1CwLDt5R7Y5yVMUEMOcAWV6EqOdJX%2BaeAKKFVWGwrNDYaEKAZ8DGEdbE96qnz%2BpnLU3HNa1y3IOPtLvbykA3ZvHbV6LFAyKQOWOt5k8VRDio4NA8TJQ7rIvLywTlXKetPGsrbqBL9BpWdeizvicIqDrV9Ijp5lgx5Oc48j%2BlA3gYYDwpYlkSUclqV%2BOMi1YF6%2F6Hw8qMPimfHHWtrIikA4S4gnk1AmLBFjSU4NRwqIhOgfRewFEI8uo1Z3atmytCGG0XX0nNoerpvAVIT7iA4euQcDBGP9Erqmj%2FXy1Et1BNH%2FexdVU33n5s%2BOWtfOmv9HGNam%2FpxbH58K9MdH0yHdOvpGBuJAhc6oLUdJl12g%2BabIp2dSeogz0UmKkEB76y5M1S6gg%2FSmjV3aEB6qUskFdXIVmGufvODyUsTUUMftLhhRUjGJ%2F%2BhSeefHONy9gUYuMfTmn%2FhiYFtPXky6w%2FR1wFxtsvN8An91VMkjqBMvMmczi%2B9BKCQDqcbY0JfDsgMTufpwOQ2p%2FTxSP4b94uoSkvac%2FSwNsoySVvhWQRgzE1j6zxl6HTiaf6%2FEtdYjiR8pfsRxSLZ58CcPheADx67GnSYmiquv0E1ZSxMUG6RQppGc4Jo2oBwGSghZOU5V6L8zPihg8xQUMTrLqMqo5pCsoh8ZkqFjdfpcXaQlGxLgTf0n%2FSdBiD5W4ljoUMAgkM6o842cXsHRmEwJ8C52VncnkHjzAlbRBaUOtEEx0rVpgHi8erEh2jX5zaErzFAyKQOWOt5ofcSrlqD3zWykA3ZvHbV6Knz%2BpnLU3HNTldkCqCQ5FxTJQ7rIvLywQjr2Wfy5ARYh0dTuL%2Fd1C79iZiMIaCmIHVHnD17CNSWeADFs%2FpE5bd5ZBolVkMPBqYOQryrc%2FQLKvT8HusMjvNuw0w%2BvtnnnzBepr%2FnP0ThyVUmXOIXFdFQObgD1uWpytZx57rE4BY0Ny39KYMTaynsY8vOxn8z28FN3L%2BUpz4low4XB9zWcXr0FJA9TcOPdE561p%2Ffxbe9GNN%2FkxDJv0jcv7IEQdeZ3s6sSahRHU0EA2dFzsPBt2BW1xKZBNygWSN1CWIivdpQrT5IGVLV8V4xi2udxVupBwkJ4BPvUXyj20rCpcEso3NpytqIoPh62%2FvhIp3lcqGUH9VOvtn9UpHee0%2Fkzxb6PCZwloLw8w7rM7evrkaSr3PrwMwbGYKaZYLk%2FfXBG6BgwjZby4a5Ar2Bo8o%2BJe0jHlsxQXmQqEqk2Z7BEYQ1FH3t14hMPD%2FOHhp0E0PZxzxMq%2B3DwMfOWwET%2Fm5SvHRNi0kKJgYKKgYnYpGT2yxFtBHJjOl9RMgCpheh01WtORYd8cWnQF%2FelwJZm7PNJzpHWm5sBXuTAKMve%2FAT9o5c5AAmWjqWQDpXrkagH6Gr3MMLSLwJQWtX2O8QDXVtKUgzfbvJt74XMHFVDbjNbP0TzQOgBPAw93QEMUa2N1a5ZbL6iE2Q1vDQvvdCqRY2zw9hUSKUsHc%2BxcK22VmK4TWB37ww2Tg9bj16JFiJxm8Y%2Fmb4DzYyXSsnTC1fSyfAIC3PCw0tD2DDkvfLloi498seGkCa7sQ%2FFIA4QLM6apqORZLfpFwJ%2BFXZUri97SG5AYikpnCceJQkvUEic9R7qKsH4aoly0%2BiyCO0L%2FBCcacYC0jsoghKKim2%2FnuH2Leji0qm%2F%2FimkuMwPo2Y190w%2BzIefjyBruH40BhR6iOysHsf4dLZPkC%2BZDVnoLQwShCKykmU5kjIePtaCPx8t7vKb4FCTzl1vaFXWsO1qhndgRIBo4AxL4nCKg61fSIyWszesiLqmdWQhsC3MoGZf2WLVBGD8AtV5NBylBThssv0Slsh6pPActm9KttT%2FD3&mm_sceneid=0_0_49248855_0&spm=a21n57.1.item.1,广东广州,棉黑色连衣裙女2026夏修身小黑裙短袖打底裙法式长裙大裙摆显瘦裙,¥59.99,100+人付款,https://g-search2.alicdn.com/img/bao/uploaded/i4/i2/23389986/O1CN01YeeARD2NdeF0eFLiZ_!!23389986.jpg_360x360q90.jpg_.webp,https://click.simba.taobao.com/cc_im?p=%C8%B9%D7%D3&s=813744359&k=2337&e=NhOU6irSfMMVkW45V3uCvbhqK%2BtC5MkeXvEb1pzq1l%2FXB03fPkXzhAYjbZndmpRzz7Io5ym2Rxaz4oukm5E9iz6s70PO4hbcimAHfajnwMi3DDvxHT3I6YeWYMf2AG8Yi65c2K8AnWAbbMW8PeMj27H59E5quEKA5REnu9YRcbp9vcEx%2BUU37XPUOHTVYNsZxWbf5T1fPETZLdIZB4BTRUUt%2BvsENbhJJE12zR5ZaR3edyMeUWwCP5jcjb%2BaooC4GmNUFsCZ2vFEhJCOMgOyf4pK2cDwI%2FN17uA3LkQFmgPNr0qH5WYffDIKvE6Eas%2Bqa%2BWLRQhjh%2BZOLMu8iiUuBbgobOsUxBtdLmlNQxYHJ9fZKFnx5OmyY2TfXOU1oVPPgB6hW6bzDjOYRj9eC0mMITXrAcVHw4TQpL7WTUOKzy0Tcj2F1CwLDt5R7Y5yVMUEMOcAWV6EqOdJX%2BaeAKKFVWGwrNDYaEKAZ8DGEdbE96qnz%2BpnLU3HNa1y3IOPtLvbykA3ZvHbV6LFAyKQOWOt5k8VRDio4NA8TJQ7rIvLywTlXKetPGsrbqBL9BpWdeizvicIqDrV9Ijp5lgx5Oc48j%2BlA3gYYDwpYlkSUclqV%2BOMi1YF6%2F6Hw8qMPimfHHWtWdHemF0lDznUcKiIToH0XpfrhWdEtNBhuU1muqm08%2BD1qwlY16f1acYtrncVbqQcwFEI8uo1Z3atmytCGG0XX0nNoerpvAVIT7iA4euQcDBGP9Erqmj%2FXy1Et1BNH%2FexdVU33n5s%2BOWtfOmv9HGNam%2FpxbH58K9MdH0yHdOvpGBuJAhc6oLUdJl12g%2BabIp2dSeogz0UmKkEB76y5M1S6gg%2FSmjV3aEB6qUskFdXIVmGufvODyUsTUUMftLhhRUjGJ%2F%2BhSeefHONy9gUYuMfTmn%2FhiYFtPXky6w%2FR1wFxtsvN8An91VMkjqBMvMmczi%2B9BKCQDqcbY0JfDsgMTufpwOQ2p%2FTxSP4b94uoSkvac%2FSwNsoySVvhWQRgzE1j6zxl6HTiaf6%2FEtdYjiR8pfsRxSLZ58CcPheADx67GnSYmiquv0E1ZSxMUG6RQppGc4Jo2oBwGSghZOU5V6L8zPihg8xQUMTrLqMqo5pCsoh8ZkqFjdfpcXaQlGxLgTf0n%2FSdBiD5W4ljoUMAgkM6o842cXsHRmEwJ8C52VncnkHjzAlbRBaUOtEEx0rVpgHi8erEh2jX5zaErzFAyKQOWOt5ofcSrlqD3zWykA3ZvHbV6Knz%2BpnLU3HNTldkCqCQ5FxTJQ7rIvLywQjr2Wfy5ARYh0dTuL%2Fd1C79iZiMIaCmIHVHnD17CNSWeADFs%2FpE5bd5ZBolVkMPBqYOQryrc%2FQLKvT8HusMjvNuw0w%2BvtnnnzBepr%2FnP0ThyVUmXOIXFdFQObgD1uWpytZx57rE4BY0Ny39KYMTaynsY8vOxn8z28FN3L%2BUpz4low4XB9zWcXr0FJA9TcOPdE561p%2Ffxbe9GNN%2FkxDJv0jcv7IEQdeZ3s6sSahRHU0EA2dFzsPBt2BW1xKZBNygWSN1CWIivdpQrT5IGVLV8V4xi2udxVupBwkJ4BPvUXyj20rCpcEso3NpytqIoPh62%2FvhIp3lcqGUH9VOvtn9UpHee0%2Fkzxb6PCZwloLw8w7rM7evrkaSr3PrwMwbGYKaZYLk%2FfXBG6BgwjZby4a5Ar2Bo8o%2BJe0jHlsxQXmQqEqk2Z7BEYQ1FH3t14hMPD%2FOHhp0E0PZxzxMq%2B3DwMfOWwET%2Fm5SvHRNi0kKJgYKKgYnYpGT2yxFtBHJjOl9RMgCpheh01WtORYd8cWnQF%2FelwJZm7PNJzpHWm5sBXuTAKMve%2FAT9o5c5AAmWjqWQDpXrkagH6Gr3MMLSLwJQWtX2O8QDXVtKUgzfbvJt74XMHFVDbjNbP0TzQOgBPAw93QEMUa2N1a5ZbL6iE2Q1vDQvvdCqRY2zw9hUSKUsHc%2BxcK22VmK4TWB37ww2Tg9bj16JFiJxm8Y%2Fmb4DzYyXSsnTC1fSyfAIC3PCw0tD2DDkvfLloi498seGkCa7sQ%2FFIA4QLM6apqORZLfpFwJ%2BFXZUri97SG5AYikpnCceJQkvUEic9R7qKsH4aoly0%2BiyCO0L%2FBCcacYC0jsoghKKim2%2FnuH2Leji0qm%2F%2FimkuMwPo2Y190w%2BzIefjyBruH40BhR6iOysHsf4dLZPkC%2BZDVnoLQwShCKykmU5kjIePtaCPx8t7vKb4FCTzl1vaFXWsO1qhndgRIBo4AxL4nCKg61fSIyWszesiLqmdWQhsC3MoGZf2WLVBGD8AtV5NBylBThssv0Slsh6pPActm9KttT%2FD3&mm_sceneid=0_0_49248855_0&a=xxc%3Dad_ztc%26mi_id%3D0000cu6qOhPwfMvcFYytPNxQEuO-0TGr9fj3o7NabgjZ2nQ%26skuId%3D6046173488254%26priceTId%3D2150432f17753982055494604e0cec%26utparam%3D%2525257B%25252522aplus_abtest%25252522%2525253A%25252522028c67b41029ca7e7ff0fe0ef221570b%25252522%2525257D%26&id=1031892282842&spm=a21n57.1.item.1,,https://s.taobao.com/search?page=1&q=%E8%A3%99%E5%AD%90&spm=a21n57.1.search_manual.0&tab=all,2026-04-05 22:10:50.032,1
裙子,回头客10万碧莲茜旗舰店,https://store.taobao.com/shop/view_shop.htm?appUid=RAzN8HWJhQwAkLfnZ2zS7mWjdZ8a7Ar3RMGaGZmNimfa17QrLEX&spm=a21n57.1.item.2,山东青岛,白色波点半身裙长款裙子女2026夏季小个子梨型身材遮胯a字包臀裙,¥39.9,9000+人付款,https://g-search1.alicdn.com/img/bao/uploaded/i4/i1/2210817515850/O1CN01Jau56e1t5M264wHEM_!!4611686018427380042-0-item_pic.jpg_360x360q90.jpg_.webp,https://detail.tmall.com/item.htm?id=910609014791&ns=1&abbucket=13&xxc=taobaoSearch&mi_id=0000pcT2PZwNEzw1C1NoJu5LydvzJjm22RRE3ENrptMQOiA&skuId=6114714322417&priceTId=2150432f17753982055494604e0cec&utparam=%7B%22aplus_abtest%22%3A%22602cbd567081c719fcef0c60539ad92f%22%7D&spm=a21n57.1.item.2,6114714322417,https://s.taobao.com/search?page=1&q=%E8%A3%99%E5%AD%90&spm=a21n57.1.search_manual.0&tab=all,2026-04-05 22:10:50.072,1
裙子,回头客10万OOK STUDIOS,https://store.taobao.com/shop/view_shop.htm?appUid=RAzN8HWTKj22fqaV3WZXKus5DspEbTf4q99dLVwBQ1mLUNLoGfE&spm=a21n57.1.item.3,浙江杭州,OOKSTUDIOS【不显瘦轻欧感】深灰色半身裙女夏季中长款鱼尾裙长裙,¥80.1,2万+人付款,https://g-search1.alicdn.com/img/bao/uploaded/i4/i2/2910682210/O1CN01Ev6viY1SCEEjXBkhS_!!2910682210.jpg_360x360q90.jpg_.webp,https://item.taobao.com/item.htm?id=734535116781&ns=1&abbucket=13&xxc=taobaoSearch&mi_id=0000IilptXULonraCrkyiERYaExtJrT9p8dQxfJXC6HpVwo&skuId=6212117671252&priceTId=2150432f17753982055494604e0cec&utparam=%7B%22aplus_abtest%22%3A%226bc4e0b52d0cf571b09a077a283662b7%22%7D&spm=a21n57.1.item.3,6212117671252,https://s.taobao.com/search?page=1&q=%E8%A3%99%E5%AD%90&spm=a21n57.1.search_manual.0&tab=all,2026-04-05 22:10:50.127,1
裙子,回头客10万碧莲茜旗舰店,https://store.taobao.com/shop/view_shop.htm?appUid=RAzN8HWJhQwAkLfnZ2zS7mWjdZ8a7Ar3RMGaGZmNimfa17QrLEX&spm=a21n57.1.item.4,山东青岛,白色碎花鱼尾半身裙女夏季小个子漂亮气质长款a字包臀长裙子穿搭,¥29.9,1万+人付款,https://g-search3.alicdn.com/img/bao/uploaded/i4/i3/2210817515850/O1CN01kMw3Lp1t5M1ZtTtHX_!!4611686018427380042-0-item_pic.jpg_360x360q90.jpg_.webp,https://detail.tmall.com/item.htm?id=897662033317&ns=1&abbucket=13&xxc=taobaoSearch&mi_id=0000oHOOKI5yVisCNR2idThDDkQIJjVost01cDBxepR3jJM&skuId=6198875778809&priceTId=2150432f17753982055494604e0cec&utparam=%7B%22aplus_abtest%22%3A%22a5af92f78912d0c0747eeed150619471%22%7D&spm=a21n57.1.item.4,6198875778809,https://s.taobao.com/search?page=1&q=%E8%A3%99%E5%AD%90&spm=a21n57.1.search_manual.0&tab=all,2026-04-05 22:10:50.177,1
裙子,回头客20万纪米缇旗舰店,https://store.taobao.com/shop/view_shop.htm?appUid=RAzN8HWRziYmHWzT7qPYLFnS24n9bo7eQbV66u1R5z1E1Vxn5wU&spm=a21n57.1.item.5,浙江金华,白色半身裙女夏2026新款高腰显瘦a字中长款春秋蓬蓬裙芭蕾蛋糕裙,¥53.1,5万+人付款,https://g-search3.alicdn.com/img/bao/uploaded/i4/i2/2207570449418/O1CN01AxSQjq2JRV6cHCv76_!!0-item_pic.jpg_360x360q90.jpg_.webp,https://detail.tmall.com/item.htm?id=787328099907&ns=1&abbucket=13&xxc=taobaoSearch&mi_id=0000XjYeuzl6PWN68pyQhm8v0tXQ4uLYz5iTvgl6Xt9z0AU&skuId=5546097431447&priceTId=2150432f17753982055494604e0cec&utparam=%7B%22aplus_abtest%22%3A%227630e33bd08df30f6690aba7e035953f%22%7D&spm=a21n57.1.item.5,5546097431447,https://s.taobao.com/search?page=1&q=%E8%A3%99%E5%AD%90&spm=a21n57.1.search_manual.0&tab=all,2026-04-05 22:10:50.223,1
裙子,回头客100万可可里小姐,https://store.taobao.com/shop/view_shop.htm?appUid=RAzN8HWKvxLTNNBV5Cpb5BRjB7Bxc7uGoNz8VMetgr1668s7igJ&spm=a21n57.1.item.6,广东广州,可可里小姐~蓝色碎花油画系带半身裙女春季高腰复古A字长裙子ins,¥39.98,8000+人付款,https://g-search3.alicdn.com/img/bao/uploaded/i4/i1/1746960915/O1CN01vYB10I1Id7SINEq0B_!!1746960915.jpg_360x360q90.jpg_.webp,https://item.taobao.com/item.htm?id=919374007754&ns=1&abbucket=13&xxc=taobaoSearch&mi_id=000095AH6_QzdCzXJksRXGHzbSJVmYqDkjG5WzVOpIVPe3s&skuId=5958760742338&priceTId=2150432f17753982055494604e0cec&utparam=%7B%22aplus_abtest%22%3A%22850b8b04b0c07879661750940583a0d2%22%7D&spm=a21n57.1.item.6&benefitReciveParams=%7B%22toast%22%3A%22true%22%2C%22channel%22%3A%22lafite_PCduan%22%2C%22asac%22%3A%223A25B24KA89A0AEGQ82DRJ%22%2C%22strategyCode%22%3A%228aeda7ee12dd4ab9b6953471497718bc%22%2C%22selectedBenefitCode%22%3A%226c3fdc66a21b4472a97cf78416329e34%22%7D&,5958760742338,https://s.taobao.com/search?page=1&q=%E8%A3%99%E5%AD%90&spm=a21n57.1.search_manual.0&tab=all,2026-04-05 22:10:50.270,1
裙子,回头客4万小柠檬Lemons女装,https://store.taobao.com/shop/view_shop.htm?appUid=RAzN8HWSqokkeQ6Xyix6AJJnzSdVKGrM2xJD173jDVB2fZf4771&spm=a21n57.1.item.7,广东广州,miu系无袖背心上衣波点半身裙女夏季2026新款巨好看的夏装一整套,¥50.97,300+人付款,https://g-search1.alicdn.com/img/bao/uploaded/i4/i1/1978916596/O1CN014kgRXz1yb1WUha9bP_!!1978916596.jpg_360x360q90.jpg_.webp,https://item.taobao.com/item.htm?id=952662764714&ns=1&abbucket=13&xxc=taobaoSearch&mi_id=0000oUhpJas4cpOngfrcHXhI8BacNx-LY_vWNNZz4KLDzFI&skuId=6034868182710&priceTId=2150432f17753982055494604e0cec&utparam=%7B%22aplus_abtest%22%3A%22d3997d1a764a7f70d59a00c19264eafc%22%7D&spm=a21n57.1.item.7,6034868182710,https://s.taobao.com/search?page=1&q=%E8%A3%99%E5%AD%90&spm=a21n57.1.search_manual.0&tab=all,2026-04-05 22:10:50.325,1
裙子,回头客60万兰梦娅旗舰店,https://store.taobao.com/shop/view_shop.htm?appUid=RAzN8HWb4LdUixiwMY6ixy3bD6VfS3t7zQmhaQcHEbNLtrs3oAC&spm=a21n57.1.item.8,浙江金华,波点半身裙女夏季2026新款高腰a字显瘦中长款法式小个子白色伞裙,¥43.2,1万+人付款,https://g-search3.alicdn.com/img/bao/uploaded/i4/i2/2132122429/O1CN01jm9QPM1ToWzczOSbb_!!0-item_pic.jpg_360x360q90.jpg_.webp,https://detail.tmall.com/item.htm?id=784307607704&ns=1&abbucket=13&xxc=taobaoSearch&mi_id=0000okUkOf-2ZsVTQyGaegKY4QZnA38x8k1ApVHEO2lKB5s&skuId=5524871962256&priceTId=2150432f17753982055494604e0cec&utparam=%7B%22aplus_abtest%22%3A%222a3ebdc9e56095aebe1f78c7ca50c6df%22%7D&spm=a21n57.1.item.8,5524871962256,https://s.taobao.com/search?page=1&q=%E8%A3%99%E5%AD%90&spm=a21n57.1.search_manual.0&tab=all,2026-04-05 22:10:50.382,1
裙子,回头客40万恋丽君旗舰店,https://store.taobao.com/shop/view_shop.htm?appUid=RAzN8HWS3EQp98Gjy3cUiiDARxYSDtS8ahgvYLqkSvnKGyk8u9t&spm=a21n57.1.item.9,浙江金华,白色不规则波点半身裙女夏季2026新款高腰修身a字花边中长款伞裙,¥53.1,,https://g-search3.alicdn.com/img/bao/uploaded/i4/i3/4182285145/O1CN01yzXVDq1nsSt7PHjui_!!4611686018427386713-2-item_pic.png_360x360q90.jpg_.webp,https://detail.tmall.com/item.htm?id=1036504808693&ns=1&abbucket=13&xxc=taobaoSearch&mi_id=00005g7W2OzN8kwhPq3M6DjqXgguaVha_n_1LniOlhkQviY&skuId=6216271615169&priceTId=2150432f17753982055494604e0cec&utparam=%7B%22aplus_abtest%22%3A%22be3498161a55331cda5263d90b5f4fb5%22%7D&spm=a21n57.1.item.9,6216271615169,https://s.taobao.com/search?page=1&q=%E8%A3%99%E5%AD%90&spm=a21n57.1.search_manual.0&tab=all,2026-04-05 22:10:50.429,1
裙子,回头客20万希古旗舰店,https://store.taobao.com/shop/view_shop.htm?appUid=RAzN8HWKevgBkghqJLWVkdPkHgxcsr4LmYNCCChmFmLzXFvekeA&spm=a21n57.1.item.10,浙江金华,日系藏青色半身裙女夏季2026新款高腰显瘦a字短裙小个子五分伞裙,¥35.1,2万+人付款,https://g-search3.alicdn.com/img/bao/uploaded/i4/i4/3527075232/O1CN01kiHecC1oWJGqhs06M_!!4611686018427381152-0-item_pic.jpg_360x360q90.jpg_.webp,https://detail.tmall.com/item.htm?id=922285481618&ns=1&abbucket=13&xxc=taobaoSearch&mi_id=0000TvTS14YvXo3iswoIqrZuMC8WedT9Vxed0JHydtJ4LWg&skuId=5963682866917&priceTId=2150432f17753982055494604e0cec&utparam=%7B%22aplus_abtest%22%3A%2238a2ca3541faf64ffd4279689e1e0211%22%7D&spm=a21n57.1.item.10,5963682866917,https://s.taobao.com/search?page=1&q=%E8%A3%99%E5%AD%90&spm=a21n57.1.search_manual.0&tab=all,2026-04-05 22:10:50.479,1
