关键词,店铺名称,店铺链接,地理位置,产品名称,产品价格,付款人数,图片地址,商品链接,商品id,当前页面网址,当前时间,页码
背带裤,FancyFairy服饰旗舰店,https://click.simba.taobao.com/cc_im?p=%B1%B3%B4%F8%BF%E3&s=1151303899&k=2329&e=xkmchj4cGxIpFExkq3asdXoK9bIKURb2yCYxSWkkZrLOAyJZmloDK7zSNeNc6oOQHGSDZ9kAEtSriJD846I80IkJoTyFpnAG4G9pX%2FgEQzff8JWnT7yfj5DgKQOQSXkOZilWxG8YS6S8icRsmVXcaz8zP9W76VMMIATP%2Bq%2B%2BwrUhYpG4GxVtENtZX30K%2FapgzP2THaoo6T3f3Htk7zfWoU6wfw35f8OdkggdX4qEVlaM23thYpaypFAmiJKF2W1kBQhxcFjYF%2FEQlighoBXTvEzamy8PfCjPZTcwbb8obGZeJAR1SIVUS2%2B%2F2PBrQoFg7UM0eCMp7vMLATa6d5MVf6z1NgbNi4VFCPr7r78GQnoDiQZn0bObaZ8SY8RdG2uamgHVdGB9eFYbEUEgPucuvbAMuknLUPO2NdpPfK5aDViDAlAVewYHwKtcZt0bt0m2EXsoJ723IBLve6B7MOJD7c6TTgjeHOFZyGxWTz1gCKjaDcrxcrP7bJXY6vs2Pq3452UzTqjo%2BazCS4NsZ%2F1RDa4mGx3QLqLp0z6eKe2lo5p%2BVrflWQt6%2BeX3Rps4VbzXf6T9ws5k%2BunCzLYkCtPZxcwYdymKKBY3j71JBRjd0O01ryyz0hikiTXaIKze1fI70cicrOxEZihi3xKSHhtrU8l0zygpm0qWegiVMnVCTHx0yPyyxiTEH6I1OnVy%2BK%2BGpOtWPYIDoKzphpawac6hGEFQWGPHDdo%2BxArS9Zl6jEcvRXlqz8p1R%2F58e08smzTkJp2ImEN8%2BeTSb%2B9LQcuxBR%2Fozlm8NysDtPr8tk4bLzaDCGXx9rEzQhe3C84BG0PPuAPf3Clha0hXHV8n9SMi4enlwgkbpN8llvWwzkYPhOz6KR3e3Zk%2Fdc%2BCgRQa33mcym%2FgYzMuOuNT%2BjH5xJpGGLgcYsJjLGR5cb%2BsDPiw%2FLoNA%2BfczyNNDHU1sGOPvJiS6PziHIImBLbSboYsoUdyAMG0tz%2F7zVnFf6hqaM6B7N%2BR2dsI0VV8idXmrQmybAMxqZh3KOI41TTUhFOGfSGojTY5KTIIw3TIz%2FRwH4TMtOs82sv3aSRqPvkic7PaDj%2FeWk6Sh4hvUBTxNPzomWEzFn0WvLiCbSfKaCXndzaFf3HlBmORjZKeOyELhFknowQHaubZxMtQix4INc5ZDvVauyKvP%2FKN9wb137sJOf3XVInlxrnUYRLN8lHUFqODjGQ8IrcT8eFu3Tn80JmY%2F4ieJ%2FCkAx7XLscof6T9ws5k%2BunCzLYkCtPZxcwYdymKKBY3j71JBRjd0O01ryyz0hikiet5adse9Sr5hKVYex%2F27GirNhweBwqqthWv5Wf8AtmgYZZql4i2mkYdV6msktsZk5QuqmqdCvxKiHTYsy2BISvPCEP4Bhgkx1zYl6jH69ByNXJjn6LsUas%2FGMmP%2FEzWDtskSgQ4Yd5kLkccil2oDQKhoe51PsofdTpjiAUdlv9h9enFd8InGykBLIAQyVZBZgLEP5MCLuMqMdt7cLqlmasnBL%2F%2F7HOwH0ZU9x6mxUsUe12PuvbZI4U%2FaACrWthYMGf50pbsgJ4GxHnARHh50AbufGAvhYNW4bck9ngds9AAUWoZ%2B%2F85AibDqzGHEkWS0cJTi8Az51mNGwUs9mZCY1SpoVsMVYGDBuJ0HuUQcJtuhOEiy%2F%2FWIFeKm9gh7wfauxuYzpciYge7h1nSB72TWPPTQyNGrncQ4vETUaLrPyhp6tV6jsoShMN%2F7Vd%2FVz1WGTo3JXfzdU8ymxHvDS%2FgWJXmqKXuNC%2BpWFcdXyf1IyLhRC2qWio2AiekPAI4dlD%2B97EgQdB2mc%2FgSW5G8BKReaT7sJcFqYKShimDup52PyBRAAR%2BCFYo046oW%2BF6K5ua3ra7Ax4MJmmHLn0kWShG%2BhuoW%2BF6K5ua3lLwoaRgeTFzfxAOmMymSjq7smLsJnYd3XLaQUzsPWeGOxqcSzDSypvrkkjSCc2EUW0MVFcHa3ufT8UYAYb5xjrv65M2yK94q7ckxTYpySaVUauJRzYyWISdehV9MFG8uArupzzCb78RCmivvCtMrSD72snApK90%2ByJPlcdVOp1iL0V5as%2FKdUf%2BfHtPLJs05CadiJhDfPnk0m%2FvS0HLsQUf6M5ZvDcrA7T6%2FLZOGy82gwhl8faxM0IXtwvOARtDz7gD39wpYWtIVx1fJ%2FUjIuHp5cIJG6TfJc0YLBoU4AYUuBxiwmMsZHnkd5joDecqwc%2BCgRQa33mcym%2FgYzMuOuMBV%2BlYVnvAcZ9Mk8R64V0wHFWDwx19jqRCqBrRkwZSe%2BO7mmli0awxZYi2NNkWZzlBUfrmMqba7g%3D%3D&mm_sceneid=1_0_7696963839_0&spm=a21n57.1.item.1,四川成都,FancyFairy永远爱背带裤/女装春季2026新款灰绿色休闲直筒裤子,¥279,14人付款,https://g-search2.alicdn.com/img/bao/uploaded/i4/i1/2219655719221/O1CN01EtaLez2HzHF7SNMGG_!!4611686018427382069-0-item_pic.jpg_360x360q90.jpg_.webp,https://click.simba.taobao.com/cc_im?p=%B1%B3%B4%F8%BF%E3&s=1151303899&k=2369&e=aUcwymFsoQ0pFExkq3asdXoK9bIKURb2yCYxSWkkZrLOAyJZmloDK7zSNeNc6oOQHGSDZ9kAEtRUOhaJqOvc5YkJoTyFpnAG4G9pX%2FgEQzff8JWnT7yfj5DgKQOQSXkOZilWxG8YS6S8icRsmVXcaz8zP9W76VMMIATP%2Bq%2B%2BwrUhYpG4GxVtENtZX30K%2FapgzP2THaoo6T3f3Htk7zfWoU6wfw35f8OdkggdX4qEVlaM23thYpaypFAmiJKF2W1kBQhxcFjYF%2FEQlighoBXTvEzamy8PfCjPZTcwbb8obGZeJAR1SIVUS2%2B%2F2PBrQoFg7UM0eCMp7vMLATa6d5MVf6z1NgbNi4VFCPr7r78GQnoDiQZn0bObaZ8SY8RdG2uamgHVdGB9eFYbEUEgPucuvbAMuknLUPO2NdpPfK5aDViDAlAVewYHwKtcZt0bt0m2EXsoJ723IBLve6B7MOJD7c6TTgjeHOFZyGxWTz1gCKjaDcrxcrP7bJXY6vs2Pq3452UzTqjo%2BazCS4NsZ%2F1RDa4mGx3QLqLp0z6eKe2lo5p%2BVrflWQt6%2BeX3Rps4VbzXf6T9ws5k%2BunCzLYkCtPZxcwYdymKKBY3j71JBRjd0O01ryyz0hikiTXaIKze1fI70cicrOxEZihbZw1vj38RTfH3H6%2F%2FXBldRXIkdxMSz5akzLNYq5cpIb2AOJInMyk5aPHc3as81qNLF2mhtJzuuHylgujMoFxQuB9N2n1kg7GioYIcktHpOiYBp4Rb2r%2Fiv5TsT7qmT5tGBWr8VQGJ4AYFyjgeiaR%2FdKyvrjkdSI4B6ExKdDkFTXe2%2FPxa7U7zRBfydixeGYbv2BULPE9UP6pX5gds8%2B9Ve4FbO4UYF21NTcUkMlkOFqWdv4UianeWVx1fJ%2FUjIuHNEek2FlqeYtoNyvFys%2FtsPScjydqhkrXgvqpwPbvxw8I5EiAGW5YQtHv7X4zQq8XnwQiDD0diMfyXGUoK5TuH4nDseBnq6UzFgDwn20vLIlH3pzNIaCkDsFBaqWMU4x3yopAJrAJyins3bgEaPx%2Fuz1xS3FbccBbTORP8TAkI85dlyv1hLf1l%2Fu0TIrg4Lc5fW02xLrxWptKfGbiEB%2BEGS%2FdNg1S9d1wWlQlGzQO8qKR9Pm6ITjwfiwerNt5GQsNX%2BN8Ov9OlAV2nETzMuakD%2F5YeDCye6p4rV%2B05Kk%2F%2BQfH2dZOvxhJFwMK%2F1yaUqXFc3uzmnImRqyw7R2AHG1wprdH2qX%2Bics%2FRESw%2BTO5%2FpBfDYKyPcYBEwdwhF%2Bi4LA0BcJr0jDLOu0F%2FTPZcn5sKL0V5as%2FKdUfE2b9FftAHYalZFnfSXk4%2BPn65pwU%2FuLjZwLZ8BAt%2Fel7NQGwOt6OpUauJRzYyWIQ9J8jnq0vjwpzvCeXTY6WFP5fGJ4cNekb191tSrPYVhEZ%2B5fq259OyLBTKd4r4oIwZO2Nn%2FS4eRJpXdWQ2PtmQA0mVh0%2BttEbv0x4VCkfoOMdPNZkxwLdLHQj495d49YXdLGQbM5WNcHCjBBv0BLu7cSHvKi5lsIH0WgINHaIKKYiP%2FRTqU9XfOWPJnrw3%2F5exFhMPAcdjYqMoG%2B5F9Ihrz4KBFBrfeZxciTt%2BLrFvE%2FzQmZj%2FiJ4nBaPE1ZTURmDu%2Fpz%2Bnmem%2BMvOdS2%2BcxrnbW7lX067rHP%2FvsdYHfQMeYweYb%2FsI9RtahWdhugn6Sys5vSzxe%2Bv%2F%2FL6HOaITq3jfZyusLK0j6n7shWJHDcKttKrt5orFheZaVj%2FgxqfT%2FvaouFbWlePF0gUaOMSiopROhKeOYCDVdyeqwkzXCzVdk1NxSQyWQ4W%2FzAe3RXaiXJ%2FKN79%2FNvDwdPMO6wPPi8aPxQf5vmHzKJGEySSSJvwczJpp%2F%2BEWAlMqx4mjq2uSCOM0G846Z5yTG878FVHiH3OkDnsCnuTGJ5m%2Fw0u1dDpJRrVGC3allcslQwcIjyEisOog5HUhqXg7cDBFY%2B00NjV%2Fnni9w6wlbdRkPI5S8wX%2BoCVClGPQQmsTsEb86mqYmQr1M%2BMn2nA7MRin7k4ocb997tDtNVFmdLQC8EZKSyV0L11YStmnnunBpCnURobjAKdZfHVokW2napFvtAWZdwRRgVq%2FFUBieAGBco4Homkf3Ssr645HUiOAehMSnQ5BU13tvz8Wu1O80QX8nYsXhmG79gVCzxPVD%2BqV%2BYHbPPvVXuBWzuFGBdtTU3FJDJZDhalnb%2BFImp3llcdXyf1IyLhgukZ4fzER6rtzgRguAH5FtoNyvFys%2FtsPScjydqhkrWLaW6bbBAEUbdBGLQROovSfla35VkLevm4rrv82IwSNUr5yQtqRRiGs4po36RzltXpbr1%2FScZVVMF7Hc8ByTzk&mm_sceneid=1_0_7696963839_0&a=xxc%3Dad_ztc%26mi_id%3D0000fsnu54rXIiOv-p4V-J9Up_RnydsDKF1sTjMjw8Ek5X8%26skuId%3D6190710803751%26priceTId%3D2147840c17754557619962022e1073%26utparam%3D%2525257B%25252522aplus_abtest%25252522%2525253A%2525252285b0bdbf3a8f6df714687f0c5250be73%25252522%2525257D%26&id=1018161588323&spm=a21n57.1.item.1,,https://s.taobao.com/search?page=1&q=%E8%83%8C%E5%B8%A6%E8%A3%A4&spm=a21n57.1.search_manual.0&tab=all,2026-04-06 14:10:02.614,1
背带裤,13年老店喜潮轻熟自制女装,https://store.taobao.com/shop/view_shop.htm?appUid=RAzN8HWYQhnNF8GBsMxwi1fbcr2nprjnWHNS7ExrKr5mA1BkWS5&spm=a21n57.1.item.2,广东广州,牛仔背带裤女夏季宽松可爱学生减龄小个子显瘦复古直筒阔腿连体裤,¥80.1,1000+人付款,https://g-search2.alicdn.com/img/bao/uploaded/i4/i1/210811385/O1CN01ek85qT1M6NWgs5Dma_!!210811385.jpg_360x360q90.jpg_.webp,https://item.taobao.com/item.htm?id=819870231535&ns=1&abbucket=18&xxc=taobaoSearch&mi_id=0000oS0TwSKKn5SjxaIempeZgCU2pfkPGDlOFnRd2ugANwY&skuId=5524835372321&priceTId=2147840c17754557619962022e1073&utparam=%7B%22aplus_abtest%22%3A%22e3a0cc414974bd45281aaacafba3ec76%22%7D&spm=a21n57.1.item.2,5524835372321,https://s.taobao.com/search?page=1&q=%E8%83%8C%E5%B8%A6%E8%A3%A4&spm=a21n57.1.search_manual.0&tab=all,2026-04-06 14:10:02.656,1
背带裤,回头客2万柴呼呼原创设计,https://store.taobao.com/shop/view_shop.htm?appUid=RAzN8HWUcxzoy2kxn3RjiFHXgD8sfW2ydGzdnmYb2FbSNbiTLfd&spm=a21n57.1.item.3,江苏南通,【破洞背带裤】柴呼呼元气Lolita日系甜酷破洞背带牛仔短裤26811,¥58.88,9人付款,"https://g-search1.alicdn.com/img/bao/uploaded/i4/i3/3570785106/O1CN016oVqts1nabRLq9262~crop,250,0,1500,2000~_!!3570785106.jpg_360x360q90.jpg_.webp",https://item.taobao.com/item.htm?id=1031235395780&ns=1&abbucket=18&xxc=taobaoSearch&mi_id=0000W6dbGdjO2RALB0CkrEVM_I73Lr1EHFRXo9IthHAumMo&skuId=6211600330207&priceTId=2147840c17754557619962022e1073&utparam=%7B%22aplus_abtest%22%3A%22d6e25bb40f5178276b4d3b84f14478c5%22%7D&spm=a21n57.1.item.3,6211600330207,https://s.taobao.com/search?page=1&q=%E8%83%8C%E5%B8%A6%E8%A3%A4&spm=a21n57.1.search_manual.0&tab=all,2026-04-06 14:10:02.709,1
背带裤,关注的店一碗士多,https://store.taobao.com/shop/view_shop.htm?appUid=RAzN8HWL17xwELCGHPi7RwgYqxYs9rJLrhSejWxUTUaxT399xUW&spm=a21n57.1.item.4,广东广州,一碗士多日系复古阔腿背带裤盐系可爱宽松直筒工装吊带连体裤男女,¥138,200+人付款,https://img.alicdn.com/bao/uploaded/i3/2211631519325/O1CN01KfI2BU2IktznTifpo_!!2211631519325.jpg_360x360q90.jpg_.webp,https://item.taobao.com/item.htm?id=646267819255&ns=1&abbucket=18&xxc=taobaoSearch&mi_id=0000Kn1cwU-_jLoovsGaepEUkDh4kX6_FHy78orq-0tJp80&skuId=4652930325229&priceTId=2147840c17754557619962022e1073&utparam=%7B%22aplus_abtest%22%3A%22e99bfe92c410cbd4c7ebdddea9da827b%22%7D&spm=a21n57.1.item.4,4652930325229,https://s.taobao.com/search?page=1&q=%E8%83%8C%E5%B8%A6%E8%A3%A4&spm=a21n57.1.search_manual.0&tab=all,2026-04-06 14:10:02.763,1
背带裤,小蛮腰美衣,https://store.taobao.com/shop/view_shop.htm?appUid=RAzN8HWN4q9oz8LQmpjJnLuUQs6hDqbqyjuasQAU3XFVzJyhw1m&spm=a21n57.1.item.5,广东广州,可爱毛绒小狗短袖t恤女小个子美式甜辣短款女上衣黄色背带裤套装,¥41.3,2000+人付款,https://g-search2.alicdn.com/img/bao/uploaded/i4/i1/2210712666484/O1CN01x5T2L61xlj2OTPlHI_!!2210712666484.jpg_360x360q90.jpg_.webp,https://item.taobao.com/item.htm?id=783337452507&ns=1&abbucket=18&xxc=taobaoSearch&mi_id=0000gGdYwqQTY881Mp6h4GCoJKzbAUhN6a-v_RbRAeO7sOY&skuId=5348016956015&priceTId=2147840c17754557619962022e1073&utparam=%7B%22aplus_abtest%22%3A%22306426282bdb4990fb7816f575745938%22%7D&spm=a21n57.1.item.5,5348016956015,https://s.taobao.com/search?page=1&q=%E8%83%8C%E5%B8%A6%E8%A3%A4&spm=a21n57.1.search_manual.0&tab=all,2026-04-06 14:10:02.813,1
背带裤,回头客6万时尚速递店,https://store.taobao.com/shop/view_shop.htm?appUid=RAzN8HWLu4vejZd6e7mtrzSAywja4nArMarcToRCibHgc8jVcLs&spm=a21n57.1.item.6,广东广州,美式复古童趣风背带裤女2026卡通猫咪刺绣水洗宽松显瘦牛仔长裤潮,¥89.8,1000+人付款,https://g-search3.alicdn.com/img/bao/uploaded/i4/i4/2012851386/O1CN01zJOg1q1M6pz48STop_!!2012851386.jpg_360x360q90.jpg_.webp,https://item.taobao.com/item.htm?id=895063295544&ns=1&abbucket=18&xxc=taobaoSearch&mi_id=0000KRpW8yTFxFocn37NcfBQvRZMRdLQ3VbhAoRrObEeQ7c&skuId=5914824635494&priceTId=2147840c17754557619962022e1073&utparam=%7B%22aplus_abtest%22%3A%22f48aa6587295f9f5bfef8a6a5fd26171%22%7D&spm=a21n57.1.item.6,5914824635494,https://s.taobao.com/search?page=1&q=%E8%83%8C%E5%B8%A6%E8%A3%A4&spm=a21n57.1.search_manual.0&tab=all,2026-04-06 14:10:02.860,1
背带裤,回头客7万和小熊冬眠自制,https://store.taobao.com/shop/view_shop.htm?appUid=RAzN8HWXbddDKLWZRaYmqhzeTmmSvmWJjGeLnLipZRCQA7tRrYR&spm=a21n57.1.item.7,广东汕头,和小熊冬眠碎花大蝴蝶结花苞背带长裤显瘦日系可爱少女学院两件套,¥53.1,100+人付款,https://g-search1.alicdn.com/img/bao/uploaded/i4/i2/1980567701/O1CN01sss0zW26l7AbD4XLE_!!1980567701.jpg_360x360q90.jpg_.webp,https://item.taobao.com/item.htm?id=944580880233&ns=1&abbucket=18&xxc=taobaoSearch&mi_id=0000b1SQ2AKQHKNpefQE5p9Ox_pdJlGj8xO1syVHfIcPy84&skuId=5845138292671&priceTId=2147840c17754557619962022e1073&utparam=%7B%22aplus_abtest%22%3A%221f456f423596c533b817072cdbf01591%22%7D&spm=a21n57.1.item.7,5845138292671,https://s.taobao.com/search?page=1&q=%E8%83%8C%E5%B8%A6%E8%A3%A4&spm=a21n57.1.search_manual.0&tab=all,2026-04-06 14:10:02.905,1
背带裤,回头客20万可丝纯旗舰店,https://store.taobao.com/shop/view_shop.htm?appUid=RAzN8HWTLP4j7gpFQzvU8FWGvcx5jXQcr1kqXM3exjwHact2HcG&spm=a21n57.1.item.8,广东广州,美式潮牌牛仔裤女夏季薄款高街宽松显瘦直筒阔腿背带裤小众设计感,¥62.8,83人付款,https://g-search3.alicdn.com/img/bao/uploaded/i4/i3/2201506699972/O1CN0183oXX72NXEOLIOhVQ_!!0-item_pic.jpg_360x360q90.jpg_.webp,https://detail.tmall.com/item.htm?id=709313567217&ns=1&abbucket=18&xxc=taobaoSearch&mi_id=0000INEkW2r3S8KIlLSxeHRJtsp5iab-DOOSyd011R2EEoA&skuId=4972695864341&priceTId=2147840c17754557619962022e1073&utparam=%7B%22aplus_abtest%22%3A%228ee48d7a2faaf47d104d8f87e335a55d%22%7D&spm=a21n57.1.item.8,4972695864341,https://s.taobao.com/search?page=1&q=%E8%83%8C%E5%B8%A6%E8%A3%A4&spm=a21n57.1.search_manual.0&tab=all,2026-04-06 14:10:02.950,1
背带裤,回头客10万MINIANNU特大码女装,https://store.taobao.com/shop/view_shop.htm?appUid=RAzN8HWJaroGeTEXuABxtoesAemtXpHTQgfwDFzVKNf1eTbeyPR&spm=a21n57.1.item.9,广东广州,特大码黑色卡通刺绣工装牛仔背带裤女胖mm学院风减龄显瘦阔腿长裤,¥129.22,300+人付款,https://g-search3.alicdn.com/img/bao/uploaded/i4/i1/2214059357258/O1CN01qpJZen23UDh0byjE0_!!2214059357258.jpg_360x360q90.jpg_.webp,https://item.taobao.com/item.htm?id=910766788657&ns=1&abbucket=18&xxc=taobaoSearch&mi_id=00004vjg6iRRH-6prFoOnnzk_8rSen8ARZ8ThEPJ_beNu2M&skuId=6209469566624&priceTId=2147840c17754557619962022e1073&utparam=%7B%22aplus_abtest%22%3A%224e8e8ee973c2cbcc4a9f42c700c10281%22%7D&spm=a21n57.1.item.9,6209469566624,https://s.taobao.com/search?page=1&q=%E8%83%8C%E5%B8%A6%E8%A3%A4&spm=a21n57.1.search_manual.0&tab=all,2026-04-06 14:10:02.998,1
背带裤,8年老店梦樱纯旗舰店,https://store.taobao.com/shop/view_shop.htm?appUid=RAzN8HWTLXx2Lfmb3yPN6uJNV5PDSyAwdLgnWsCoNFNJnbmmJ2J&spm=a21n57.1.item.10,广东揭阳,美式复古米色卡通小熊牛仔裤女春秋宽松设计感别致休闲百搭背带裤,¥79.9,200+人付款,https://g-search2.alicdn.com/img/bao/uploaded/i4/i3/3395770242/O1CN01Q3bfg41DessimI6Ud_!!4611686018427385730-0-item_pic.jpg_360x360q90.jpg_.webp,https://detail.tmall.com/item.htm?id=888159285306&ns=1&abbucket=18&xxc=taobaoSearch&mi_id=0000b4Y707sc2FYY4ziGaYb8Uq6Tx2MRxNZBD0GUcTnXuyQ&skuId=5898733298970&priceTId=2147840c17754557619962022e1073&utparam=%7B%22aplus_abtest%22%3A%2277a3bb96ea57334285feea489c7817d3%22%7D&spm=a21n57.1.item.10,5898733298970,https://s.taobao.com/search?page=1&q=%E8%83%8C%E5%B8%A6%E8%A3%A4&spm=a21n57.1.search_manual.0&tab=all,2026-04-06 14:10:03.043,1
