关键词,店铺名称,店铺链接,地理位置,产品名称,产品价格,付款人数,图片地址,商品链接,商品id,当前页面网址,当前时间,页码
包包,回头客3万CHUMMYKALLY旗舰店,https://click.simba.taobao.com/cc_im?p=%B0%FC%B0%FC&s=2053442490&k=2169&e=idnskswg%2FvcvYBN1h1vq2B2%2BXwmuNqh5AIZ%2FBgAqypjEbe6vRaN%2BhCgZfpQAYFeDAt53gh0s7rgeo2zUi%2F0C6kwpSHyz%2FHQlcKf4mTMxk0X32qMk9RaIQGw3QaqhWLhkwCH%2FLCdZ2tn1HUUYOps9fcvVnejhMr0hLx9sSgwnQqSMPflqVXuDpn4T4hsL%2BC0PtipBLtX9Uj%2FqKg%2BZa7LxPj%2FQujIF4WkqDhFpqzRPCZ5Tp%2FsNBEUUjc5VDLU26X%2BWzxIc%2FAYE1g7z48odp5UJE1YDDYeZWQSu1dqWbnwNAN9oFGvOAI84d2d%2BCLZ2%2FAp8TfKk4H3PHepb3xyk8qF2otjNxGVMeOOWV6Q7mjUva21Gm1VJlghumeDpqCbT3jncsDGMxxz1SzS3h8S%2B6UWN18qK79f14DS%2FZ31Nnx4rvqsA2dxdjBgqBRUNy8Gv7CoMjWCZRmiPSNW0fnfcjCaf9KUlRUJYLCjRCEvthWTUPX05KNh8U8XdutP0IcaldXYG4V%2BIOxtN7xHZ%2BqdPYRBsrbmnTTd3y%2BtvWiBAkPBrpjmd5sLjEsIFXlDibNYbLGotNIPZz10tOWNw4iuQAdJvGksfd4XwlU90ObNfFPO1tjdEhO3oxlxSwEbgOwSqIAdH0fS4VGz9sN0oM8glsaTOLGTYJqBHmvOgJzWIT4%2B2zRVdvFwM3XCd9ETW5S1WBPqQjikHWJW3gYnEF2eqJTwcthT80sdmJUDGu0uvGLdk1zTF7SIrmqz61ESE7ejGXFLAsdasXPJsq%2BswHLGP8W0z4I4huaxGXe4CYlpnAGmks2pwREF51aDP0%2B%2BQK1rTkyXDkF9tdDZWGxDGg6V5FjbpVI0bd1Ny1Jl4MyVmBtyjAMYNqkVo5UxIdmSBRmgsDNNmOLf2D6BtWIb4aCTHuT1ApAxeKbxNum8OkP32WqZoxgrbWpystuGVoZvFiYMNLAqQdTYdhBuNa7%2F0slr0RFho94WF3HmxWkUXfeKHzIV7X5Wkiy%2BJApuvQSbZRHU8Q4JrE0LA51p0psGzsUgWHEL%2FHvMcjtYNnfM62wcp%2FTHCvNOK%2FKGbhdk3SoGu%2BXyLu%2Fc%2FGCPj%2B9lv%2FhrDKuOyp6QpQG35puIR7dVRBnpZ3U%2BJi6J6ddQllpGTqAWFKHTMJskscngfw5DkN1aee7O5r8gLwhAPwE7%2BO%2FuvtU00qsRzh1Zw4iuQAdJvGksfd4XwlU90ObNfFPO1tjdEhO3oxlxSwEbgOwSqIAdHMvq167ez6KkxFrnnkY1ob%2BKkcp7Zdij8BH9A9JytDjsdQ3TBx8LtKVHON8XxoHeexKm77MWtkQgdxIcy10Z6jOwc0aQ0F7Q%2FdQfbxfHyIpb28YMcnY2hXYGUd%2BuuhBzTTfpUNHc%2F2uHosfRF40T%2Fo2Jmtm0kUITIfF7yTTNphEst01yidopk1Vdm2PG8OCLsLJTPFeFj1fJMuHft8PJ2fW8DnnufsagRZwMVdUxSscHT9CHGpXV2Bt6BRHvBUPkPMALwZa22Ohb14ZDcFsD26NP0IcaldXYGYJ2dSwe0BQ1sN0GqoVi4ZBInm%2FmmHv6NWGHs%2FephaVEUHfhfExFLqsiBz0mSJ1ocJ5ymTJsB5Lc1cIuPPHe2LbvCUpTwGZlp%2BEtjiNSWrIiKy5QDFb2%2F4U%2FwKWjLRh9SrxoxDkXGRkP%2B86R6xd5Us2qcbVbzBQzNB24TiW%2F0TJTw7ohaRYEKpkkpbwi80JX4CwSClwOc%2FbIGFPCnn5gAQQSLW5SBY3bQ8OTqjY2SvH3oj5odj%2B%2F85votT9rx6XgCq6LkNZaXMsBCFyzOqst1UAEz%2BVj2NZvlWNu1cj%2B9KjuxrEXUtKj%2BxOOMFE%2BHAHjgF2zkQQa%2Fj6ulSPWHPW6e%2Bf%2F55XjQzOkmXwmDsiOTQJ2G9%2B4D4sCD5QTaXi396lIrg0x6bf3CkZXLmm9%2F2uA7fYinbMh9A7J2p8XCKNO4XsllXkVdPDfaMsghekk5nkqc1jy2I6fU9quzE57aR4jB07o8zqqxuiCFFTOAuLOU55b72oJVLFoU6F03wd5PeOUoqhDxLlW4%2FeI2bln3CGpew3hFcDhEpMXas4cTofZzbRLYgPb0Cb%2FVOi7kd5LUJCr8RmsLTAfjJqhb6G5Kqz7gnlM%2ByHfVXB87HYT7315CIufqYpcHppiD%2BA%3D%3D&mm_sceneid=0_0_901790156_0&spm=a21n57.1.item.1,广东广州,Chasel&Karin母亲生日礼物大气女士手提包2026新款妈妈款斜挎包,¥269,1000+人付款,http://img.alicdn.com/img/O1CN01wxWQEl1gwOylfU7jC_!!4611686018427387854-0-item_pic.jpg_360x360q90.jpg_.webp,https://click.simba.taobao.com/cc_im?p=%B0%FC%B0%FC&s=2053442490&k=2201&e=7%2Fw9yv78SvAvYBN1h1vq2B2%2BXwmuNqh5AIZ%2FBgAqypjEbe6vRaN%2BhCgZfpQAYFeDAt53gh0s7rj%2F0a5l6kKAckwpSHyz%2FHQlcKf4mTMxk0X32qMk9RaIQGw3QaqhWLhkwCH%2FLCdZ2tn1HUUYOps9fcvVnejhMr0hLx9sSgwnQqSMPflqVXuDpn4T4hsL%2BC0PtipBLtX9Uj%2FqKg%2BZa7LxPj%2FQujIF4WkqDhFpqzRPCZ5Tp%2FsNBEUUjc5VDLU26X%2BWzxIc%2FAYE1g7z48odp5UJE1YDDYeZWQSu1dqWbnwNAN9oFGvOAI84d2d%2BCLZ2%2FAp8TfKk4H3PHepb3xyk8qF2otjNxGVMeOOWV6Q7mjUva21Gm1VJlghumeDpqCbT3jncsDGMxxz1SzS3h8S%2B6UWN18qK79f14DS%2FZ31Nnx4rvqsA2dxdjBgqBRUNy8Gv7CoMjWCZRmiPSNW0fnfcjCaf9KUlRUJYLCjRCEvthWTUPX05KNh8U8XdutP0IcaldXYG4V%2BIOxtN7xHZ%2BqdPYRBsrbmnTTd3y%2BtvWiBAkPBrpjmd5sLjEsIFXlDibNYbLGotNIPZz10tOWNw4iuQAdJvGksfd4XwlU90ObNfFPO1tjdEhO3oxlxSwEbgOwSqIAdH0fS4VGz9sN0oM8glsaTOLDzGLJFJEFA5DkdFWKnifJUBVDRL1kSj0GjQydvuPb1dUAOgpG1tnE7FNx9tkDdJfpc2d2YM8XuqaDl%2FmOFmaJ0pqaBck2JxCVSdOXmBRSQssstmME8f7crP1W2GVlMQqDRwYyxMaM%2Ft1ez8TLZFXqsCHuKK%2FPOGKSciMNze6Yud4%2F7Q%2BcD9kHwUSa0G%2BuKXNcx8vfxZE46QV%2B5t6VWLE0IgqmEMq6LdHBPH6i%2FEf%2FSZ0N2%2BU%2F7e0q1BzbdELkOq1IMKf74%2BTwF18sKqywkbZse7SI06Fef0ugbwqKTd4399F8OVlZSPwW9EhO3oxlxSwP80RS5sod6VCltUztl1PJ3iRbWzs7HIOH1rNWAu%2BoBKif3CnWrapB748gQUmWv0f%2BkDHi2JcbpTedLhBBE0doaMFEMf5WqHbSqHHBGsx9RXqXaesmE4i5YiLpDuNJeYV5YU00WCpQ2m6GSg8w3GMtGIopfhG5erJjyoBKz3%2Bw%2FKVSXfB0V2Qs0bjCYd26xe%2BgZypbWhtW%2BwPpU5lCdKaUu%2FivQN1nNbeXqfpeFL3D9faCZXaMoZJln3JmXlnVQh1Q2fOJEBMA86aFAW%2F5CJirg0cGMsTGjP7dIHmJ1yrfnLO%2BYOjqGn7YYNgymdQVXeqQiNaDLx4w8p0D03OF909W8V4lalNxQJJqLKrDDHwjH5caDC6oOvMuoO1hfm0PPP86yeUtpAQA7JT6i5wl70KmhbbmBL5UwqegRflYDshAEgaSiAtrjFNc1RLHU0wCEInDT2J7h6yHih%2B2niqL%2BJO%2FZ7cVgf6z1n1Ods%2Frjh11nopb%2BhWH57ActOHnCaJ19f10GlKXwfgobI2NJrAxwltmzFYbaAC11%2BjmknhFsVXI3CmRZHej4sov34rJ7Ikxr1j8VhtoALXX6OaLFq%2FkO8DjiGZb8VQiK6pGvFxn9crWy6pcE85uBXfHjPwjFkv2KMwe1mqUwibOkstm5PBtPFIbGfi0YAn5IPjeGfvLPBK3QVMJRSnK6r2wDJxMsIluvJvkdjtA9K9Xtjm6g1G5ZiqWClH%2BMjrUANRa3n1Pcq2pL%2F2avRlDUJatsHfBnq43XAfUqj%2BrNoeou83dGb8gdd8bAwlcjNEfyvxIlk%2Brazr%2BiGR9XZv7SqhQ26x7ZA6BRjqwbWaQK4Y6jn43mix4KR59EeUq7giTDtQ9Ihhc5NkgF7cyZtvWtGUQb1%2FCTMBGUJSx98w4uLKWRPiVG8B1lqJrUUrcou6jXiu61W4F5XKojz9YTYkik4ZaBFaNauwnBsfQt7bPKjv7sDHutvsi%2BWX7w7QVnz9OIyEwNLVyAg7FvmlwsMWzjGIM5EhO3oxlxSwLHWrFzybKvrMByxj%2FFtM%2BCOIbmsRl3uAmJaZwBppLNqcERBedWgz9PvkCta05Mlw5BfbXQ2VhsQxoOleRY26VSBLPLtRj3lTnj0w99EByE50FacpGElvd0NqkVo5UxIdmSBRmgsDNNmvHbrhFwsEiN865oTyDfdoXxYQCrQNNAcuxsvDSepB0CcoGhqv5UHvw%3D%3D&mm_sceneid=0_0_901790156_0&a=xxc%3Dad_ztc%26mi_id%3D0000u0i-bdlRfPoI2xGDQxiTOfj-M9qL2-BlHKj1OpYoBiU%26skuId%3D5777463492119%26priceTId%3D213e07a617754756816734052e1193%26utparam%3D%2525257B%25252522aplus_abtest%25252522%2525253A%252525221ed4ee9913eec03c1590356ccd3ad38f%25252522%2525257D%26&id=912067664902&spm=a21n57.1.item.1,,https://s.taobao.com/search?page=1&q=%E5%8C%85%E5%8C%85&spm=a21n57.1.search_manual.0&tab=all,2026-04-06 19:42:05.897,1
包包,回头客9万超值严选购,https://store.taobao.com/shop/view_shop.htm?appUid=RAzN8HWW1AfqfwZbAtcHcEhfdbiz6FXRTTz5pC3nXvUsQBWn2ms&spm=a21n57.1.item.2,北京,大容量包包女生通勤外出帆布包卡通文艺宝爸妈带娃收纳包带拉链,¥0.01,4万+人付款,https://g-search3.alicdn.com/img/bao/uploaded/i4/i4/2220005877660/O1CN01jZ7SZQ26SKx8Ikjao_!!2220005877660.jpg_360x360q90.jpg_.webp,https://item.taobao.com/item.htm?id=974107350379&ns=1&abbucket=3&xxc=taobaoSearch&mi_id=0000aTN_GNpddMC0xQC6AlygpgFAvQcbQ4tE0cGA2NdTZn0&skuId=5927857301117&priceTId=213e07a617754756816734052e1193&utparam=%7B%22aplus_abtest%22%3A%22b8a82e6a41f13a46a5055f8596cb88d6%22%7D&spm=a21n57.1.item.2,5927857301117,https://s.taobao.com/search?page=1&q=%E5%8C%85%E5%8C%85&spm=a21n57.1.search_manual.0&tab=all,2026-04-06 19:42:05.939,1
包包,8年老店umitbenan旗舰店,https://store.taobao.com/shop/view_shop.htm?appUid=RAzN8HWTfz7WaM3TpcdyYsayqBFnZ1cQpmyWHepUhv66ZJM1Rtx&spm=a21n57.1.item.3,浙江金华,帆布包女2026新款袋子布袋饭盒手提袋上班通勤小布包便当袋小拎包,¥7.9,1000+人付款,https://g-search1.alicdn.com/img/bao/uploaded/i4/i4/3524631220/O1CN01rKIpOW1Kso2oqzUmc_!!0-item_pic.jpg_360x360q90.jpg_.webp,https://detail.tmall.com/item.htm?id=712749835520&ns=1&abbucket=3&xxc=taobaoSearch&mi_id=00000qImGJOiayY1pNcm8PbzF2Fr6c0MxF8ANU_lucVHq9s&skuId=5163782247268&priceTId=213e07a617754756816734052e1193&utparam=%7B%22aplus_abtest%22%3A%22abef5bbe356e2551100ac4aa7b0bf8b7%22%7D&spm=a21n57.1.item.3,5163782247268,https://s.taobao.com/search?page=1&q=%E5%8C%85%E5%8C%85&spm=a21n57.1.search_manual.0&tab=all,2026-04-06 19:42:06.000,1
包包,回头客1万箐彦旗舰店,https://store.taobao.com/shop/view_shop.htm?appUid=RAzN8HWRG7wcvyB1cXfkwgqvjRNA5Pueo9wb9qjQb9NduSThgJT&spm=a21n57.1.item.4,浙江温州,麻布袋定制logo亚麻礼品袋时尚外出环保饭盒包棉麻帆布袋子手提袋,¥2.4,8万+人付款,https://gw.alicdn.com/imgextra/O1CN01y8QyBe1BwAbgA24Es_!!2215736320009.jpg_360x360q90.jpg_.webp,https://detail.tmall.com/item.htm?id=719725869473&ns=1&abbucket=3&xxc=taobaoSearch&mi_id=0000W55-e9jbpZvpA1e_dcoDBAAjaCo12HTscmadYD-B78o&skuId=6173970830351&priceTId=213e07a617754756816734052e1193&utparam=%7B%22aplus_abtest%22%3A%22ebaad54c71002708a9c229860f9d2a69%22%7D&spm=a21n57.1.item.4,6173970830351,https://s.taobao.com/search?page=1&q=%E5%8C%85%E5%8C%85&spm=a21n57.1.search_manual.0&tab=all,2026-04-06 19:42:06.054,1
包包,回头客9万超值严选购,https://store.taobao.com/shop/view_shop.htm?appUid=RAzN8HWW1AfqfwZbAtcHcEhfdbiz6FXRTTz5pC3nXvUsQBWn2ms&spm=a21n57.1.item.5,北京,帆布包小巧小型百搭手提包女学生饭盒袋简约手提袋子上班族便当包,¥0.01,1万+人付款,https://g-search3.alicdn.com/img/bao/uploaded/i4/i3/2220005877660/O1CN01VjcSEJ26SKyimqGW3_!!2220005877660.jpg_360x360q90.jpg_.webp,https://item.taobao.com/item.htm?id=986520119493&ns=1&abbucket=3&xxc=taobaoSearch&mi_id=0000Q_IV_8hOquzaMQPzWrxkJKdsV5mNI5bcfn8LW2H2f0g&skuId=6117236162054&priceTId=213e07a617754756816734052e1193&utparam=%7B%22aplus_abtest%22%3A%220473f83f8256c2d017b4144dbcd880e8%22%7D&spm=a21n57.1.item.5,6117236162054,https://s.taobao.com/search?page=1&q=%E5%8C%85%E5%8C%85&spm=a21n57.1.search_manual.0&tab=all,2026-04-06 19:42:06.100,1
包包,8年老店umitbenan旗舰店,https://store.taobao.com/shop/view_shop.htm?appUid=RAzN8HWTfz7WaM3TpcdyYsayqBFnZ1cQpmyWHepUhv66ZJM1Rtx&spm=a21n57.1.item.6,浙江金华,手提包上班杂物小拎包通勤帆布包女2026新款饭盒手提袋手拎便当包,¥8.2,1万+人付款,https://g-search3.alicdn.com/img/bao/uploaded/i4/i3/3524631220/O1CN01wK5QmB1Ksnw0C3I80_!!0-item_pic.jpg_360x360q90.jpg_.webp,https://detail.tmall.com/item.htm?id=667281115436&ns=1&abbucket=3&xxc=taobaoSearch&mi_id=000098ENRRY2Ve9W7Rwbqx6CUTEi8VLmfRF7YMNANOlMvaQ&skuId=4980472627680&priceTId=213e07a617754756816734052e1193&utparam=%7B%22aplus_abtest%22%3A%228595f3aba6916ce18be6a4fc0aaab898%22%7D&spm=a21n57.1.item.6,4980472627680,https://s.taobao.com/search?page=1&q=%E5%8C%85%E5%8C%85&spm=a21n57.1.search_manual.0&tab=all,2026-04-06 19:42:06.155,1
包包,糖豆少女原创设计,https://store.taobao.com/shop/view_shop.htm?appUid=RAzN8HWXCb9YQRfMWvfoPWh5iFAX6gaBKjd9iyFFyAb4A2rqU6h&spm=a21n57.1.item.7,江西赣州,【意向金】草莓蛋糕包包1r抵尾款10r|糖豆少女原创设计|Lolita包,¥1,200+人付款,"https://g-search1.alicdn.com/img/bao/uploaded/i4/i4/2200602307801/O1CN01zRAUSO27UuptcivVs~crop,0,212,1179,1179~_!!2200602307801.jpg_360x360q90.jpg_.webp",https://item.taobao.com/item.htm?id=1032270264745&ns=1&abbucket=3&xxc=taobaoSearch&mi_id=0000OofgDQo3iydBB3FLptv9BGA1IO2ClhgT3o9I9CgxlX8&skuId=6208925410763&priceTId=213e07a617754756816734052e1193&utparam=%7B%22aplus_abtest%22%3A%22b0c10446c42d7dafe10fc4ba782a1757%22%7D&spm=a21n57.1.item.7,6208925410763,https://s.taobao.com/search?page=1&q=%E5%8C%85%E5%8C%85&spm=a21n57.1.search_manual.0&tab=all,2026-04-06 19:42:06.200,1
包包,7年老店天天特卖工厂,https://store.taobao.com/shop/view_shop.htm?appUid=RAzN8HWRkZ1Zkcxc1hvTxymBjFGV9uG3kq47JeKX3mLD91RnnYM&spm=a21n57.1.item.8,浙江杭州,学生大学生上课帆布包女2026新款大容量休闲百搭手提通勤托特,¥14.05,6000+人付款,https://gw.alicdn.com/imgextra/O1CN01bWZATn2LY29pHO09N_!!3937219703-0-C2M.jpg_360x360q90.jpg_.webp,https://detail.tmall.com/item.htm?id=773170755731&ns=1&abbucket=3&xxc=taobaoSearch&mi_id=0000rAntKsdQmJTGNAiCvPxC-XMsRPf-Oya5SADgDx-ADpM&skuId=6222011299760&priceTId=213e07a617754756816734052e1193&utparam=%7B%22aplus_abtest%22%3A%2238ce443ec95a617a8f5ae893eb8a64c8%22%7D&spm=a21n57.1.item.8,6222011299760,https://s.taobao.com/search?page=1&q=%E5%8C%85%E5%8C%85&spm=a21n57.1.search_manual.0&tab=all,2026-04-06 19:42:06.248,1
包包,回头客1万立早包装,https://store.taobao.com/shop/view_shop.htm?appUid=RAzN8HWWZz9oBnoLXe8YCVSuVwkTpuMC6vfwxRGEYYVudTVfc3v&spm=a21n57.1.item.9,浙江温州,帆布包女拉链袋帆布袋大容量手提包购物袋新款包包通勤,¥3.8,4000+人付款,https://g-search2.alicdn.com/img/bao/uploaded/i4/i2/2443010330/O1CN01gzd6sB1EJBV1EmKXI_!!2443010330.jpg_360x360q90.jpg_.webp,https://item.taobao.com/item.htm?id=728107327942&ns=1&abbucket=3&xxc=taobaoSearch&mi_id=0000A3YubZEO5w5CrBn5iq97Zi5b6j8Y9AV5GWkwFkP4sj0&skuId=5218193994166&priceTId=213e07a617754756816734052e1193&utparam=%7B%22aplus_abtest%22%3A%2277b08fc7874d11f765e2911ed583078e%22%7D&spm=a21n57.1.item.9,5218193994166,https://s.taobao.com/search?page=1&q=%E5%8C%85%E5%8C%85&spm=a21n57.1.search_manual.0&tab=all,2026-04-06 19:42:06.303,1
包包,礼遇针织包,https://store.taobao.com/shop/view_shop.htm?appUid=RAzN8HWREFqDJm1dfWeqocXSUGzvkM7xJWHaWk8XijPGKDSGKTh&spm=a21n57.1.item.10,浙江金华,高级感手拎小包婚礼生日礼品袋针织伴手礼手提袋节日礼物袋手提包,¥3.89,5000+人付款,https://g-search1.alicdn.com/img/bao/uploaded/i4/i2/2218623017734/O1CN01kg7wjn270EFazg8BD_!!2218623017734.jpg_360x360q90.jpg_.webp,https://item.taobao.com/item.htm?id=954814197957&ns=1&abbucket=3&xxc=taobaoSearch&mi_id=0000MG1hvCp4y5w2FAAVfzxdjPGsuDil-MBmzhLkqyciudk&skuId=6043911403838&priceTId=213e07a617754756816734052e1193&utparam=%7B%22aplus_abtest%22%3A%2272abe9cb30e771279bd72102d5951b34%22%7D&spm=a21n57.1.item.10,6043911403838,https://s.taobao.com/search?page=1&q=%E5%8C%85%E5%8C%85&spm=a21n57.1.search_manual.0&tab=all,2026-04-06 19:42:06.350,1
