关键词,店铺名称,店铺链接,地理位置,产品名称,产品价格,付款人数,图片地址,商品链接,商品id,当前页面网址,当前时间,页码
围巾,弗尊图旗舰店,https://click.simba.taobao.com/cc_im?p=%CE%A7%BD%ED&s=1574941065&k=2361&e=e2SYU3KqUIboRY9NMocj%2F4SYi%2BNZDR0bE7wvWyE6C1e0RWp5K7S4%2FLPQJFWpsh%2F3oSlZIOWaeGJJElSzyHCBN37t%2FKqdybKsFuwqpL7orb%2FqWW3F2eonsSVIEPsLTYFnvn0ClZTUQ3uNsIcQGV3GBwN86LxyLQHom%2B0BYl2hVZDEmVlwv1NVvjyp2sUkLIP8%2BxCby68Tlnx8INKk%2B2PzBq7DCu0R%2FRurUSIWcRd5x09Tc6phR4kIMPGUVNlw1xcipD6nKm5%2BmnIYTzI95WRcH1TxG74N%2FXPF8jfeHnNiJGz9gTJDBCdfVT00%2Bp%2BNLEWnF4%2B4eUoe5miTDyzfYPahZj%2FxQBNon95XACpOVxtN9mIBaAYLUBZoXCs4lrMIpZXKucul4BAEF%2FbFVV09TjTZ4%2BA%2BlhugH8%2Bc3vsYjMj2BQBhN941HzQeiguiY7LEOVrCGwT3GP%2B8oQFcR2wb8TVUeMcreHLO8Fgtc%2F6WpCr0su8S%2FXPqitFRR2msMM%2BPL92uPdSdgZ%2B1FQZg1jFs5G5JCUuYUQr0Db5uz4ZMtJUWAyQJcdsbx5u8FuJ0wmfB2WCvRIECYnvq%2FPnObfj9lxNM29JdvNbp0rsaFF%2BNNccSRso2P8%2FiworhnMS%2FBNc2OnTJdZXZWfGIbPsPAGFtAkDvAiJYfQUh83cKvO%2FuRVRCf4AlpJR78Lu1qaC5qjuAoYHhBjtKBjKrlllJHEa5d21Dxqc9laL%2BbYpxee4T0CQXVjv6mJ0DgVx3ry8pwFKqBEhuC%2BDIFQ5VMvI%2BTf5et1252pDGLUOykJ0l%2FFkFWkIZt40doqPb39Pfr5mB0KO8LdUQX7HZ53vfTkOU9AtVNspHzPQdhjVWwaJr320kT1t6iYYR2Lt0O%2B0plsFKZYqFEzNEdEAlkrHXLwgoOoOVmj0ViXk6ZNhwSG3gajibJds%2FkN%2BqUv8Q7PJsVRTlTo7uCw0HzQmblg6BQ5InNsDiNPZlc9o%2FpGcNJlmrebWNOh8KP9nezqOsF2onF9H3aYWSJ0S%2B%2BMhi43H5C5c%2BZ44VlmI2VxCfy%2BKDCYjDkfn0Sy4rpWwWiGLjelALF6RHQxOg4vDLwdmy52uSxwhCxDN%2FG9OmkOIkMvVLZOQfqLnlNq%2FEv%2F8FP%2Br7gm2Agy5fnkyt6vw49VioJxOe9UjEFeKxTOafcbtSLDmKTeLu0KHC%2FcYhLafMc%2B3tvUlv%2FKwRgaywbiOTiNe0mftk5L7L119lD3qTHTuH5KgSrQtoHqMof9R6DFZYjY93Xh0DdPd%2B%2B%2FLn60QCckFUasT8sSDQZRhVDO3LAONBAQx4Jk1ToWdul%2BuWgqwBG7EcMWGlmyJiALooQbMNUj9hTQT6gtcDPaFg4EEK%2FfL0JLA67W3B4uBBCt8rYUs4ExAihTgkGmXW0HD9rnIoQYaQcxyY4%2BsnD5Cfe%2BcKJEZHfF4EXAFaQvHPYR6HumZm8bdas3mODlTxp0FdZI1ICN94GkLME4O5dxhLbDQRmoLeCvKAVAhGnQSNeNNKuCC232hBAW7%2FsfB%2BTnj2TjTDb1%2BKFBJZmkA0ievBXZmJ1Pw2KEF063AE%2FViV%2BrLXhlEtEE7CeRcUBGmQ9w5APqP%2BwrltM0p%2FSqr9WJX6steGURkOp%2B54Al0SJUgQ%2BwtNgWfMJA0%2F21RbcytSO0rJ%2BuokrfLtqoS6Cv8sGeyENzid%2FULfQ8Ut4yvz0gPAd2M0n%2FMxOlKKkxw4L4ZLCA49TVQpTZ2wHUZV9HvF600wAUb%2BFg96RibfL2l8gb0LZ3Idrmtu813%2FutdZi3KWYtoIwASNEardhjBW%2FHDJrxCTybuLVuO2Q4NkwWAQgWbE5lqVhQFVQ1xabMm4AIc%2BeoUYTLW8AlqQaQCSqH3MSgqEzmTzI%2F6ONUuB7Oeyi7wT6gUpcXoreiwRrHVnyKMo1r0VYjKDqazwIfNvUZAreiwRrHVnyHs9YpYcPtet8ceYferVfWYUlocZz8nEyAnpAnHVHYdzjjIDEBgK5DxFitzrGqiuP%2BXinHvsx4XQFxc5uOzcqnFcmEnUNnhgwvtG39hmLI9pEx8EX6zl9BpvdFbyd8Jcnmv5yvQmIMA3hm%2FpfFH6xlkbge6ofQgQOhuUI2XNqrRpC%2BDIFQ5VMvI%2BTf5et1252pDGLUOykJ0l%2FFkFWkIZt40doqPb39Pfr5mB0KO8LdUQX7HZ53vfTkOU9AtVNspHzPQdhjVWwaJr320kT1t6iYYR2Lt0O%2B0plq9Zl6e1O3zkMNstUOFGXye4FUYPxf9ZAyg6g5WaPRWJk4qnfEl37dzEvwTXNjp0yV2zWPaN%2BW%2BEZdbQcP2ucij12AmCktFLOZKxUMQW8bm6GtCLtgBNTUDa71NAzQxbJA%3D%3D&mm_sceneid=1_0_1858640159_0&spm=a21n57.1.item.1,浙江金华,红围巾定制公司年会庆典开业活动同学聚会中国大红色围脖印字logo,¥4.8,5000+人付款,https://img.alicdn.com/imgextra/i2/2211346734114/O1CN01PeNkBW1gGGVggcCXL_!!2211346734114-0-alimamacc.jpg_360x360q90.jpg_.webp,https://click.simba.taobao.com/cc_im?p=%CE%A7%BD%ED&s=1574941065&k=2401&e=LOTd4Q3EP4boRY9NMocj%2F4SYi%2BNZDR0bE7wvWyE6C1e0RWp5K7S4%2FLPQJFWpsh%2F3oSlZIOWaeGJ9nItRdNB4DX7t%2FKqdybKsFuwqpL7orb%2FqWW3F2eonsSVIEPsLTYFnvn0ClZTUQ3uNsIcQGV3GBwN86LxyLQHom%2B0BYl2hVZDEmVlwv1NVvjyp2sUkLIP8%2BxCby68Tlnx8INKk%2B2PzBq7DCu0R%2FRurUSIWcRd5x09Tc6phR4kIMPGUVNlw1xcipD6nKm5%2BmnIYTzI95WRcH1TxG74N%2FXPF8jfeHnNiJGz9gTJDBCdfVT00%2Bp%2BNLEWnF4%2B4eUoe5miTDyzfYPahZj%2FxQBNon95XACpOVxtN9mIBaAYLUBZoXCs4lrMIpZXKucul4BAEF%2FbFVV09TjTZ4%2BA%2BlhugH8%2Bc3vsYjMj2BQBhN941HzQeiguiY7LEOVrCGwT3GP%2B8oQFcR2wb8TVUeMcreHLO8Fgtc%2F6WpCr0su8S%2FXPqitFRR2msMM%2BPL92uPdSdgZ%2B1FQZg1jFs5G5JCUuYUQr0Db5uz4ZMtJUWAyQJcdsbx5u8FuJ0wmfB2WCvRIECYnvq%2FPnObfj9lxNM29JdvNbp0rsaFF%2BNNccSRso2P8%2FiworhnMS%2FBNc2OnTJdZXZWfGIbPsPAGFtAkDvAiJYfQUh83cKvO%2FuRVRCf4AlpJR78Lu1qY5XSMipfBHBvq0IwEfYjZAz40J6Luklq9%2F%2Bs%2BmOw%2BLa%2FGPpmszKYDqKkrITH4l%2FgebF9C%2Fm0j0UJDD%2FFm5t0JH8dcNz8CnWNquPQQahVA3gSxwrH7W%2B%2BtUX3RfPa81xNxMsEyI%2BCW81sb6BRdUcvy9gkBySYJS1vchieHLo0D5MIdHrcTQdz%2FHTUs33BPH2yImr2sa%2Fdr4Cd9PLlMfIx%2B56NPV%2Bvj3xvOaOKsnz1XxxjXLtjZVzJKl5qUpQFBhw91n6oNX7pAxUcAbpogvQ1ygvnSDjn0gZQtJmzGKFOQAAgyMzwkNObXQEhRtPpBg6oRbTEghKGLbFqmdLR9336tW1MEfkJ2tnFGDB0sphF6Em3s8EuFh4XtTl2cBCrw7KoqfH8QsWLPkWqupUsskJxSTLTKHSzTewCAU1i%2BKi29m0lxvYF3HTrlttZwmf0A%2F9vP14lyCPDUqjL7BjwgQpDNjmshkZnOW0G41aGSlhxQ8W%2Bj8Zgi3pHMgy%2BTqR0IY%2Fw9toQ9k5JdvmBuIgiShbrgk67ReOtBz%2F6Vyj1T4wFgc6LEzzH%2Bk%2BL7EIshAhTi94%2BrbR6z1mbhgHLyFMnjsY3NfTb66WilbHQM7mkNpdWHpe8cnMjDI%2F97Q0ro0%2FMCSvvj1rIhk5D8mFqgAuWHotigPhvCJ1qKTPqpeY78SCyGmJtM6WxARKG%2FmfQ9sHa%2BVC8raPmjEEB7x0wt1%2FM6WG3nM8ZPtNnKspD03yfLvHJeDdgsKOXSmg3RB3MDY3qVkcuQd709kthCsn5aaXCGh0%2Bh8lVwJfGDqRMpYNZgZy9tJq2fm2MggNPlIEqt6iZiziCn22pqvbDjlCA4dQes2R1yzYBfm1L6CXWzsrXs%2Bs%2FVSRD78mcFnBG02pPTRXD5MLz8iji3ispJZi%2FWNnHLQAvUVLmFEK9A2%2BbvKmDPdemXS19usOz7Ttv21U5DudeLrRe0uYUQr0Db5uguQOIt2oK8i2DVjlWf4yQ%2BNg9sjnTARkjTqVO%2BlyWEL1GcijDqtpmfGKYlmJby81cZh458cNYuYYJsBZQZ%2FrkrqJM264jV0OPkrCE6IJolHYaVGkqgfzoeMSnfJzQsYD0z44ZIMoNSWaFRSwHkZLRiPt3TF0A898e%2FHSUcBgLkolAgcUyiyRw6NVW7GTYwBAO%2FG18eGfhh6GSwgOPU1UKU2dsB1GVfR77wxnNXJHV3D428FnAf8UFIuL8cyXKQbOaadx%2FW2uqc0N%2FDPWExCa18NiEMCGZkNU9pyd%2FN6lk%2FG44LAwpE0VOPnBxX3sfZaotZlpZVH9nnN6BAb5Kuehd3hMAZtlHp1UncldRb03mbNn02xcS9Q8o%2F2qAwbtti584eJCGoomlOziEDGUi94707zMKfbjLq0Gn0PbB2vlQvLxxjeB2qsHkx4QLQ2ByyktmbDTTRtoCR1SFCcO1wZ4FJrjvXq8YcnLnpH5uPY9yoEX3RfPa81xNxMsEyI%2BCW81sb6BRdUcvy9gkBySYJS1vchieHLo0D5MIdHrcTQdz%2FHTUs33BPH2yImr2sa%2Fdr4Cd9PLlMfIx%2B56NPV%2Bvj3xvOaOKsnz1XxxLn93yplzIY8iexkPLDq1KNzk9uLGLdpiWfqg1fukDFSrZtDk07kM4rW%2FlSku9c1CIFJ1vkAPUXZf%2F2L4ECU%2Foir6MVv5nwZvLHSKh1s3N4EMR8E3xnHls591Fj12Azz%2F&mm_sceneid=1_0_1858640159_0&a=xxc%3Dad_ztc%26mi_id%3D0000eqiCrmuuPKG3iRXjH6apWsp3_hxCSbtUa7VXFSO3ASU%26skuId%3D5100981030086%26priceTId%3D213e074917754741869334292e13fe%26utparam%3D%2525257B%25252522aplus_abtest%25252522%2525253A%252525222ebc82a9c7934f7aaac14bdeb76e3c7d%25252522%2525257D%26&id=694777410172&spm=a21n57.1.item.1,,https://s.taobao.com/search?page=1&q=%E5%9B%B4%E5%B7%BE&spm=a21n57.1.search_manual.0&tab=all,2026-04-06 19:17:11.303,1
围巾,MONSTER LOVERS,https://store.taobao.com/shop/view_shop.htm?appUid=RAzN8HWX2oWygo9hnM7TSQsA8RbwGp2NBS69wjVPNVtYdvQdyN9&spm=a21n57.1.item.2,江苏扬州,尖货英国100%羊毛格子围巾女冬季学生百搭男保暖情侣围脖生日礼物,¥80.1,3万+人付款,https://g-search3.alicdn.com/img/bao/uploaded/i4/i1/687862438/O1CN01O3M5jr1TseO4bf7Re_!!687862438.jpg_360x360q90.jpg_.webp,https://item.taobao.com/item.htm?id=682704972934&ns=1&abbucket=14&xxc=taobaoSearch&mi_id=0000a2-vaIoVvWVRFdMg-gX5ySbYVBgz0dUeHqZwgbHV26I&skuId=5061229775940&priceTId=213e074917754741869334292e13fe&utparam=%7B%22aplus_abtest%22%3A%226eea6269f53e63f55b2f54a25ccb3c58%22%7D&spm=a21n57.1.item.2,5061229775940,https://s.taobao.com/search?page=1&q=%E5%9B%B4%E5%B7%BE&spm=a21n57.1.search_manual.0&tab=all,2026-04-06 19:17:11.347,1
围巾,回头客100万啄木鸟官方旗舰店,https://store.taobao.com/shop/view_shop.htm?appUid=RAzN8HWURmxtYZfmgwEMC24fyLwCr7HQQfK51vXYaE2p2iNcztg&spm=a21n57.1.item.3,浙江金华,啄木鸟2025年新款浅蓝纯色围巾女冬季加大加厚保暖情侣围脖披肩男,¥35.8,2万+人付款,https://g-search3.alicdn.com/img/bao/uploaded/i4/i3/2217317925051/O1CN01uOYUZ71nBPYlNm6XH_!!4611686018427379899-2-item_pic.png_360x360q90.jpg_.webp,https://detail.tmall.com/item.htm?id=837600905514&ns=1&abbucket=14&xxc=taobaoSearch&mi_id=00000kcRz4aGadxAj1DJjqFpI2xUxRTMH3OE-lHRLPWyJeI&skuId=5721887193776&priceTId=213e074917754741869334292e13fe&utparam=%7B%22aplus_abtest%22%3A%22065efe89510ae78a27ad1015b77e5717%22%7D&spm=a21n57.1.item.3,5721887193776,https://s.taobao.com/search?page=1&q=%E5%9B%B4%E5%B7%BE&spm=a21n57.1.search_manual.0&tab=all,2026-04-06 19:17:11.420,1
围巾,日本mujフェンディ品牌线上店,https://store.taobao.com/shop/view_shop.htm?appUid=RAzN8HWMUkktpmEp4kK1YBK7rFGF2tfkEBMutGWkBAvJdi5Dbjm&spm=a21n57.1.item.4,浙江金华,日本无印秋冬季灰色毛线加厚保暖围脖2025新款百搭女高级感围巾男,¥25.39,2000+人付款,https://g-search3.alicdn.com/img/bao/uploaded/i4/i2/2219050990004/O1CN01s8JABT1Btsg1veNmN_!!2219050990004.png_360x360q90.jpg_.webp,https://item.taobao.com/item.htm?id=979418643639&ns=1&abbucket=14&xxc=taobaoSearch&mi_id=0000_7e0Yb3J4lXXhoO8w8bk7LSvZt6IWd0ZTz3zUaI6KaA&skuId=6104033407339&priceTId=213e074917754741869334292e13fe&utparam=%7B%22aplus_abtest%22%3A%22f522fecbdfa951a7d3c21ef21267c7d9%22%7D&spm=a21n57.1.item.4,6104033407339,https://s.taobao.com/search?page=1&q=%E5%9B%B4%E5%B7%BE&spm=a21n57.1.search_manual.0&tab=all,2026-04-06 19:17:11.466,1
围巾,回头客3万goldartist旗舰店,https://store.taobao.com/shop/view_shop.htm?appUid=RAzN8HWRP3YiPUueJ52YHLJ2irnJBBnzDoTxGbMFWaqN31MNL99&spm=a21n57.1.item.5,广东广州,GOLDARTIST格子围巾女冬季2026新款美拉德保暖围脖学生韩系披肩男,¥27.3,4000+人付款,https://g-search3.alicdn.com/img/bao/uploaded/i4/i4/3109011186/O1CN016B9G4g1KdEcsxOXNL_!!0-item_pic.jpg_360x360q90.jpg_.webp,https://detail.tmall.com/item.htm?id=745969370843&ns=1&abbucket=14&xxc=taobaoSearch&mi_id=0000mtRVh_EXVYq5mkeRdgDmbjnwbXf8UyFHRCzpa3T8MIs&skuId=5142522372391&priceTId=213e074917754741869334292e13fe&utparam=%7B%22aplus_abtest%22%3A%22b9ea89813ebc975bddcfb8f088c5fe73%22%7D&spm=a21n57.1.item.5,5142522372391,https://s.taobao.com/search?page=1&q=%E5%9B%B4%E5%B7%BE&spm=a21n57.1.search_manual.0&tab=all,2026-04-06 19:17:11.518,1
围巾,回头客3万美作围巾,https://store.taobao.com/shop/view_shop.htm?appUid=RAzN8HWapyfnHCQjEnyaNpPBqYKv7tSZrfE2qagtD5PFb9iuffw&spm=a21n57.1.item.6,浙江杭州,2026新款纯色围巾女冬季男通用情侣披肩两用保暖长款加厚日系韩版,¥39,1万+人付款,https://g-search2.alicdn.com/img/bao/uploaded/i4/i3/142775698/O1CN01wQoV8W1rxjgLdmCbP_!!142775698.jpg_360x360q90.jpg_.webp,https://item.taobao.com/item.htm?id=609736784316&ns=1&abbucket=14&xxc=taobaoSearch&mi_id=0000pfs5DuoQ6sl4HJ0X20U2mZhxncI-Kk6wa7mQvVH6v80&skuId=4656647906124&priceTId=213e074917754741869334292e13fe&utparam=%7B%22aplus_abtest%22%3A%223e064bf2b718f99d86cafcf61f0efb7d%22%7D&spm=a21n57.1.item.6,4656647906124,https://s.taobao.com/search?page=1&q=%E5%9B%B4%E5%B7%BE&spm=a21n57.1.search_manual.0&tab=all,2026-04-06 19:17:11.567,1
围巾,回头客1万鸿星尔克鹏景专卖店,https://store.taobao.com/shop/view_shop.htm?appUid=RAzN8HWSLV8SHvgQugmCBYXreBxGKZakJ5zPGkgTc11coNKYZLr&spm=a21n57.1.item.7,浙江金华,鸿星尔克格子围巾女冬季2025新款韩版百搭围脖情侣保暖披肩男秋冬,¥39.9,4000+人付款,https://g-search3.alicdn.com/img/bao/uploaded/i4/i4/2212740014701/O1CN01vWyXBJ1kb6msTqI7R_!!0-item_pic.jpg_360x360q90.jpg_.webp,https://detail.tmall.com/item.htm?id=739021141536&ns=1&abbucket=14&xxc=taobaoSearch&mi_id=0000nEDdUGjEhej6tzf6_pAYN1ZAN8Xncyx1UtBxD2YHw7A&skuId=5113777829048&priceTId=213e074917754741869334292e13fe&utparam=%7B%22aplus_abtest%22%3A%22ba52ff1de57b9d815acf8d155a3c5534%22%7D&spm=a21n57.1.item.7,5113777829048,https://s.taobao.com/search?page=1&q=%E5%9B%B4%E5%B7%BE&spm=a21n57.1.search_manual.0&tab=all,2026-04-06 19:17:11.615,1
围巾,8年老店秀颜服饰,https://store.taobao.com/shop/view_shop.htm?appUid=RAzN8HWTBbr7zw8KDv6PjQ7SEtMYxRTsEhmcw3sJdTrDtvW3U5g&spm=a21n57.1.item.8,浙江金华,春夏新款2026韩版清风纱丝巾纯色时尚百搭亮钻护颈遮颈纹围巾围脖,¥8.5,1000+人付款,https://g-search3.alicdn.com/img/bao/uploaded/i4/i1/1022450725/O1CN01HLg91o1HE6DS2pQ54_!!1022450725.jpg_360x360q90.jpg_.webp,https://item.taobao.com/item.htm?id=945497658796&ns=1&abbucket=14&xxc=taobaoSearch&mi_id=0000V_33OU_vLUoi2zMlcIeXvmk6SNYjbdRWDVtCLqIdfhE&skuId=5852512241273&priceTId=213e074917754741869334292e13fe&utparam=%7B%22aplus_abtest%22%3A%22b2c0371e783dae4ceb78fbd4c357b3ab%22%7D&spm=a21n57.1.item.8,5852512241273,https://s.taobao.com/search?page=1&q=%E5%9B%B4%E5%B7%BE&spm=a21n57.1.search_manual.0&tab=all,2026-04-06 19:17:11.669,1
围巾,11年老店洛克街旗舰店,https://store.taobao.com/shop/view_shop.htm?appUid=RAzN8HWT9t2x563mw6DVAhBzekZhxMvYM2RRqHsHEfeuzurisRb&spm=a21n57.1.item.9,浙江金华,年会红围巾定制2026马年新款中国红色印字刺绣logo活动本命年围脖,¥3.05,6000+人付款,https://g-search3.alicdn.com/img/bao/uploaded/i4/i2/2421864247/O1CN01pHqMYg1hFBCLZ7bvc_!!4611686018427385655-2-item_pic.png_360x360q90.jpg_.webp,https://detail.tmall.com/item.htm?id=997443481340&ns=1&abbucket=14&xxc=taobaoSearch&mi_id=0000wTHdGU1g3KmiayNYbPmMoBudShmCHfkwLw42iDBXbT4&skuId=5992276001260&priceTId=213e074917754741869334292e13fe&utparam=%7B%22aplus_abtest%22%3A%22fc9a90c8e5d114fdfd1d67b4fc7c502c%22%7D&spm=a21n57.1.item.9,5992276001260,https://s.taobao.com/search?page=1&q=%E5%9B%B4%E5%B7%BE&spm=a21n57.1.search_manual.0&tab=all,2026-04-06 19:17:11.724,1
围巾,回头客10万宝茵菲旗舰店,https://store.taobao.com/shop/view_shop.htm?appUid=RAzN8HWYycQ1dRKNnJawe5STq8d8VU3DoBAfbHfE476kJiygpD4&spm=a21n57.1.item.10,浙江金华,民族风围巾废土风亚麻褶皱渐变头巾沙漠丝巾凹造型辣妹围脖披肩潮,¥15.1,2万+人付款,https://g-search2.alicdn.com/img/bao/uploaded/i4/i4/3669578932/O1CN01ILZAbp2FqueHASNYk_!!0-item_pic.jpg_360x360q90.jpg_.webp,https://detail.tmall.com/item.htm?id=833091070134&ns=1&abbucket=14&xxc=taobaoSearch&mi_id=0000acMnLUPhDcC1re2mO4dlpQE0xjwtO1LuBuqui5kGYRw&skuId=5581327905715&priceTId=213e074917754741869334292e13fe&utparam=%7B%22aplus_abtest%22%3A%22b812855b7a760cb9d37f92cee0989af7%22%7D&spm=a21n57.1.item.10,5581327905715,https://s.taobao.com/search?page=1&q=%E5%9B%B4%E5%B7%BE&spm=a21n57.1.search_manual.0&tab=all,2026-04-06 19:17:11.777,1
