关键词,店铺名称,店铺链接,地理位置,产品名称,产品价格,付款人数,图片地址,商品链接,商品id,当前页面网址,当前时间,页码
帽子,回头客9万夏金采旗舰店,https://click.simba.taobao.com/cc_im?p=%C3%B1%D7%D3&s=1229273089&k=2273&e=tJi%2BmxgMNoLpKSoodX1fj95JPX9wKpJUkaGsccLquW7e3zaPK5XsqGKPAcCjjKllT%2Fm5cPGhl8HPaAmsZgai78XaRyNe%2FHJPpGeh%2BqN9hygP9MbfB42HiABbQ%2FlIGLZFOF4S0dF0OufvbshHFePNI4patk26w8CMDJNEM3EgUHt%2Fw%2BYrDwvDvcQ4akP3fcnAHiqE0WZIDSgkYRaSjaDKZJwNQqIJinFRVYwK01F2jeVCrerTahh7adWbhz7T30ySAQjvKtT%2FHDKNHpHwBlbt4YctwzttvVsrNiR3t4Q5acAlvJFKCSMFgOOHzhD28oo992MDjDGRqXoWu8wMqT%2F3svqofjVakezSNuO1P5qT9csRAIWzHcRQ9m%2BHEnBa0dz5EbrnFS6f1LU%2BN3VQNRz%2Fjx5CNtXbk%2BMOowFD8yMclzloDonHL%2BMDZk1Widpnt4Y5N435HPucCsqvZjk389rNz2sF9HIwhEaZCBPAK6zy0ELbTvxrwKEVMxylQow3A7zBG%2F0HbqPYC%2F1J92fxmTVNmjmgDQ4mu5GSOKecYqw12ZTJykLdZh7bJBfHuEli0apxph6OI5ysd2LipaojIf9hVPPJtz%2BiavrFOr3P5Ys7hs%2BKrwbDQIpiXHaA%2BeblJ3B3vJSagdxm5hlPoln3JJHCzjLNa%2BndH0DkvbAMCRpTQqWDRNuS2cr%2BKwlTepyM%2Fol5lz7bnSTzQRE111%2FooTKhyTJKsKCTg0Ja2xV1gRJJ58qVPEe9172bhOXBaVRX9JVA80ynCCv2Md2exR%2FpI1rZSzDrR9Ednfn6Y0OD1dg7WwZcyLXSS94PCWXnGzVTJLrZiCOX31Lbsi7mdcuocchQbzbYdHxb8mgMOQkC7eXB33Ee6sd2QqXedPxrmd7X9obhPmSllgbkUkn8AB0BnObKqFNWZSBDS%2FTBUZf%2B%2B5V48R%2FQhehrnm%2F75zg96fK2RbhbKe99SRvirEvprWlazrimdx0i%2BWm%2BInAST1mhW%2FFg39%2BgBhzDCqUw0CNQ6sDUtjTIAKwyf5f1ve8hRehvooJjugnNds5JenWDRAP1Ub1oihwYkiVbPld3ORrHQt4Kr8pnTh8Qg7FPrVM3oMT3RuwEFbArUMdMxIATELT4lEvTOSDBcK5SMuXnQkwfVBzEQYmlR0xa90YdsIXpoVVCfx6%2FgkkKtNPxJhLa4M%2FQzstfSzIfjW5pQ2%2FyxPKnL9XZWaOaRqraaqOE7QReWZlhsoob6YnkdBrUbhOqiuvZd80HBPlkp59oJxJvK5c%2B250k80ER10YllRS8eV9meipUSNWz9ngitZYEadgLQeGxsY2WNu1cksbSsA9ZMzinnGKsNdmU5ntqxpq%2B7X8y9XpTOHxFX%2B0W%2FOrDxR%2BFhOZxZ9%2B0qjrRq27ON5uaCfexgYK6ENtpRG9KPtdjUwfhCBjALCdHIgpJgQFKLV9j7fK5J%2FQ0Oq%2F%2BsvHgltfiHm1ZW4Ybd2Kh%2FDQlz2uFuejTrxuE2hPgUJMh2yiJtEKjve%2FvuW1RYv9WwzEDRseocmjq29IClOv0jLtLdOIDMX49fU0TK13DEx%2B0T7G2RzwraOrb0gKU6%2FTEjWnhF5W5oCXHsmeETlYgrIy4%2BVXsUls6gIGeYcXhDfZEHinxyV0CD3WnBasUzDdqbo4RZeskL4FOgVZN9qxLI8Z%2BxjjLMeOd%2BBJCUuz75zA5dYzJ583rTNd0rQxDuMeQyHlJAxEegmFs%2B1cS%2F5mKsniR0j6KmlBlcR2z%2FSkY72XnGzVTJLrZSeav7iRizEwjxn7GOMsx46yHlzGjF5%2BWb1tugpkceiP30Ep%2FvugTTJVmRkt7wwoR%2BnyTvBrtzVTbxbupz2f8lMzgiXSIkR04vxQHBx8NR%2BpTtUkynIZsBoE%2B6SC7Q7%2F1oMWxkJaXY5vbNTSynDqLibLiU2zY3K466bhI5fBUjm8l44qnygqRzBahIwCdfpg7yeabLcgv9TQCjvF798vTe%2B9RsE%2Bc4hGEtJkoeZ3Fie2692EL05mpRGUigrgtpE7GfQnNIEYyNQVhTstEk60hJ8AJLIHKlZtQzyfsZQMukAGxudawFO28wGTu02MUGz00fRw%2BFlYZ%2BcV0kckpYdKo0veVlBOxBuZjhdILOWcma2%2BZEsVIRkWJlpc0jE4%2FPmqt79dknP1uqfcJ%2B9j6EAvJzPilrZKasgdm9tRsJ7rD9tswunHrNaXmFuXEJszv%2FeQYYhhVTmpZotVwqGDCss1pQyOeyRIskb7dN9MB6KZCrrb%2BOgbBIV1TavhZ85SDaS77&mm_sceneid=0_0_6372335408_0&spm=a21n57.1.item.1,浙江金华,美式复古做旧棒球帽女2026新款大头围水洗破洞牛仔宽帽檐鸭舌帽子,¥17.8,5000+人付款,http://img.alicdn.com/img/i2/6372335408/O1CN013nUoYh1pouxmch1CL_!!4611686018427387696-0-saturn_solar.jpg_360x360q90.jpg_.webp,https://click.simba.taobao.com/cc_im?p=%C3%B1%D7%D3&s=1229273089&k=2317&e=t%2BIKCvfS0QbpKSoodX1fj95JPX9wKpJUkaGsccLquW7e3zaPK5XsqGKPAcCjjKllT%2Fm5cPGhl8HPaAmsZgai78XaRyNe%2FHJPpGeh%2BqN9hygP9MbfB42HiABbQ%2FlIGLZFOF4S0dF0OufvbshHFePNI4patk26w8CMDJNEM3EgUHt%2Fw%2BYrDwvDvcQ4akP3fcnAHiqE0WZIDSgkYRaSjaDKZJwNQqIJinFRVYwK01F2jeVCrerTahh7adWbhz7T30ySAQjvKtT%2FHDKNHpHwBlbt4YctwzttvVsrNiR3t4Q5acAlvJFKCSMFgOOHzhD28oo992MDjDGRqXoWu8wMqT%2F3svqofjVakezSNuO1P5qT9csRAIWzHcRQ9m%2BHEnBa0dz5EbrnFS6f1LU%2BN3VQNRz%2Fjx5CNtXbk%2BMOowFD8yMclzloDonHL%2BMDZk1Widpnt4Y5N435HPucCsqvZjk389rNz2sF9HIwhEaZCBPAK6zy0ELbTvxrwKEVMxylQow3A7zBG%2F0HbqPYC%2F1J92fxmTVNmjmgDQ4mu5GSOKecYqw12ZTJykLdZh7bJBfHuEli0apxph6OI5ysd2LipaojIf9hVPPJtz%2BiavrFOr3P5Ys7hs%2BKrwbDQIpiXKa%2Br3bZE0lmnCCxmvf7keEi%2Bgjarb7Lnm7x9PzTZd2KMyslIkdb7ZUaxAjn0LNXExWyfzoqBL%2Fr1YzeQAEq6IZ%2FOqTGVA48w2Y3udMj42qwRbVeE1p98x16j%2Bh3pyttEaXoS1V7mhfYXlmZYbKKG%2BlnyRp7f7etCLAyvX7Cpx7IkUW7S8ZEaxOBWxWGRxHNpmAaccrUdPbmv2ZnVjFaupofK%2FVD7U73a7SYZlhSMffp1udZ9uaHEV8Enr%2FMUHRfvAgTwCus8tBC6cukO5yvzHzt5Uj4vdVQzgn72PoQC8nM2vitS9jjmxXP%2Fe1M26sok4b1eFfyo638V5JLqJTpekxHeZqRYhckZFF4Zz8CtWAi38ShtZLTdvz9YnAiJCpRYjy3xlwVvIDC470QoOyJgySYKGfmFn25N572ZBW748570XPWR%2B1W1vqZHVCiP1VoAlaeXlC0n9%2F2c3TAlKjm1sQNxMtHWWc9x4ONxHA1glTX7atTR%2BDJfISYz4wQCUSDx2vNxTmqJ5utoXeiEFAkyO5wIuMXN0LiA1p6dBDbsN%2FVnf834OO05dY3NEQxDjxHycLbRrPJWpCp1Kr%2BXx3%2BiefpMNGQH0diFxfHuEli0apxph6OI5ysd2LipaojIf9hVPPJtz%2BiavrFOr3P5Ys7hs%2BHYY4%2BsCV6DFAiudtz4RjAlHW13Z0GPbM1L183e407JpW1V3%2Fmoq6asEO8KlgBNB28Ljq6glAXdQBFnmaoAgmyZzZ6hbvTi4tEVRNtPp1v0LYMpAUOQY1DYtYWomdAmijxCM4ZBSjXtXVaGD63%2FJWniaN%2FFz3Jgv7xSjHTUWefm9hbE09SjwG1nGNki%2B270%2FU7KY422KZf9zhzhcEc8bNoBXc4mgnuMbwkpnmEXovH7UNRlxIRKdStqxKx6NQmGk8Dk0NpAIHEYd3HD%2ByJ4cxAFbJ%2FOioEv%2BtQLTPOTx6UKkBS8GM8AWsrt9JZyrFzWtkVsn86KgS%2F69HN9jgsYGPfAFtD%2BUgYtkWr%2BxzLvoAyOPJ%2FBvH2UjyB48i0MWR8FcECBkNz2TRimsMFgk7y5eXVIUXob6KCY7qrzVPt8yRu5I18aUNx%2FaS9UjpyiNZcZlaA9GHQmaeuZc4g71H1mQs5V2n6DZ12e2OHPGwUdNFAudc1DCvsZnUT1udZ9uaHEV8JWMpXpoRaCavNU%2B3zJG7krJuxUtk4TqE4OLS5vGOE0N2mjo999YXVCahuyjNTQx3GekvUXpt8BTd6zSw8vZ%2Bu3e4HtLEn6AnPa13D7Vz4yRyPd2zZWSEcle6symcZ8jRBnrNUZyGqjgE2vUlvZ8drKDk9Lg6ljW5ArQan8DXDnt%2F%2B3wX5S%2B3UtaYwcS%2FjDDy5k0IQkbPR2z9C%2FK%2B%2B%2FbZGNS9fN3uNOyakYPBzKNXcr2Tw8VNzoMgcJzM8xEyHhJv77%2F85QZtHxPM8p%2Fvs17PrvyyDz%2BGi6s5DM4llaF%2BKbtnSVAV1I5CTOXwdzRSLlkHGjNDdX%2BACkDDCT%2BRWMH1Q9YXWqbxss89qxM9QIq2mkOL%2B6DIlG3sPr1FGqoFR57ZKx7R6k%2FgDKDcbSxgsBDjCHWg7MdGVfQSpWl8FYr2Dd7TlgO1t490KG%2F0HbqPYC%2F17sRUNeeuqBWZ9rX6DHeo7D9OZbqbVNW4y9XpTOHxFX%2B0W%2FOrDxR%2BFB%2BIYlPZaiOA%3D&mm_sceneid=0_0_6372335408_0&a=xxc%3Dad_ztc%26mi_id%3D0000feYQXUjFg8H46Bhj4AUpwUd1gvzQJ4o_SzCho2xxuqg%26skuId%3D6204054347158%26priceTId%3D2150445b17754488513516108e10e6%26utparam%3D%2525257B%25252522aplus_abtest%25252522%2525253A%2525252237492e5591b611bb317780c0404c8776%25252522%2525257D%26&id=895151595180&spm=a21n57.1.item.1,,https://s.taobao.com/search?page=1&q=%E5%B8%BD%E5%AD%90&spm=a21n57.1.search_manual.0&tab=all,2026-04-06 12:14:56.773,1
帽子,回头客60万问香坊,https://store.taobao.com/shop/view_shop.htm?appUid=RAzN8HWPpAqaUHr2agyUcQ8HvUuzcoAPZBoqeFXBa7HDqVG2ygD&spm=a21n57.1.item.2,浙江金华,棒球帽男女2025新款宽帽檐显脸小大头围鸭舌帽大帽檐遮阳防晒帽子,¥12.5,9万+人付款,https://gw.alicdn.com/imgextra/O1CN01UErLMU2NdeF483sCL_!!172619986-0-picasso.jpg_360x360q90.jpg_.webp,https://item.taobao.com/item.htm?id=703446760426&ns=1&abbucket=13&xxc=taobaoSearch&mi_id=0000L4XlzFBFVwVu0hUMK3BtCQWLOygPY4vs9y8d7P8-Ccs&skuId=5129299615157&priceTId=2150445b17754488513516108e10e6&utparam=%7B%22aplus_abtest%22%3A%224d07abe28c8b743690259be71de8114d%22%7D&spm=a21n57.1.item.2,5129299615157,https://s.taobao.com/search?page=1&q=%E5%B8%BD%E5%AD%90&spm=a21n57.1.search_manual.0&tab=all,2026-04-06 12:14:56.854,1
帽子,回头客10万白茶清欢COISINI,https://store.taobao.com/shop/view_shop.htm?appUid=RAzN8HWKkDk5NiEQPW31evFV3YKrjogYS5gbcmPjjDdmL1hxPsP&spm=a21n57.1.item.3,浙江金华,日系复古小狗刺绣棒球帽女韩版大头围显脸小情侣鸭舌帽宽帽檐百搭,¥26.8,1万+人付款,https://g-search2.alicdn.com/img/bao/uploaded/i4/i2/190058521/O1CN01uTNYnq2Cofu3fVhKD_!!190058521.jpg_360x360q90.jpg_.webp,https://item.taobao.com/item.htm?id=874480249261&ns=1&abbucket=13&xxc=taobaoSearch&mi_id=0000SYZyOiExDAv2hf-lv4oJmZKU5o8nS2PjwKIO0O2TXOk&skuId=5878390663320&priceTId=2150445b17754488513516108e10e6&utparam=%7B%22aplus_abtest%22%3A%22ecded3919d26b6402176e77dde7b22d7%22%7D&spm=a21n57.1.item.3,5878390663320,https://s.taobao.com/search?page=1&q=%E5%B8%BD%E5%AD%90&spm=a21n57.1.search_manual.0&tab=all,2026-04-06 12:14:56.945,1
帽子,回头客9万夏金采旗舰店,https://store.taobao.com/shop/view_shop.htm?appUid=RAzN8HWa2s4pRA9wCXXX6FVnW7nwQsZhPmixjSbqshkYrHyM1BT&spm=a21n57.1.item.4,浙江金华,美式复古字母灰色棒球帽女高级感宽檐大头围显脸小百搭鸭舌帽子男,¥19.8,3万+人付款,https://g-search2.alicdn.com/img/bao/uploaded/i4/i3/2217779068458/O1CN013Ch8TQ2CLoxNoppMI_!!4611686018427387434-0-item_pic.jpg_360x360q90.jpg_.webp,https://detail.tmall.com/item.htm?id=885460227447&ns=1&abbucket=13&xxc=taobaoSearch&mi_id=0000vORyFaiVPTtI7RMgFICLXowJXpMCeRcRtW888zVi5HA&skuId=5895914159449&priceTId=2150445b17754488513516108e10e6&utparam=%7B%22aplus_abtest%22%3A%22df735878f27f86973496501a9b56e7ef%22%7D&spm=a21n57.1.item.4,5895914159449,https://s.taobao.com/search?page=1&q=%E5%B8%BD%E5%AD%90&spm=a21n57.1.search_manual.0&tab=all,2026-04-06 12:14:57.008,1
帽子,回头客10万稻草人服饰配件旗舰店,https://store.taobao.com/shop/view_shop.htm?appUid=RAzN8HWT2KcytC9YHJaKz2zKLgUfPVETpT6cHeBCmrdYePnBAez&spm=a21n57.1.item.5,浙江金华,稻草人棒球帽女潮夏季显脸小大头围鸭舌帽男帽子深顶宽沿2026潮款,¥23.04,2万+人付款,https://g-search3.alicdn.com/img/bao/uploaded/i4/i1/2734472558/O1CN01dGAY4F1Ulc2IFIyki_!!0-item_pic.jpg_360x360q90.jpg_.webp,https://detail.tmall.com/item.htm?id=731372879837&ns=1&abbucket=13&xxc=taobaoSearch&mi_id=00000ziTvohIXRj57F4VA05W6W2YjDAPqVK-hEj1rZWgBi0&skuId=5062725676852&priceTId=2150445b17754488513516108e10e6&utparam=%7B%22aplus_abtest%22%3A%222e328810adab7b95415c2a93df01b40a%22%7D&spm=a21n57.1.item.5,5062725676852,https://s.taobao.com/search?page=1&q=%E5%B8%BD%E5%AD%90&spm=a21n57.1.search_manual.0&tab=all,2026-04-06 12:14:57.073,1
帽子,回头客40万大头星球 BIGHAT,https://store.taobao.com/shop/view_shop.htm?appUid=RAzN8HWKarmKRj4BNTMDudrjJFVPVemADqsbDjV6LpNp1KDAgEm&spm=a21n57.1.item.6,浙江金华,【香菇来了】大头星球大头围帽子美式刺绣棒球帽女2026新款宽帽檐,¥35.1,5000+人付款,https://g-search3.alicdn.com/img/bao/uploaded/i4/i2/2212822981553/O1CN0127PEj81NLK38DznRC_!!2212822981553.jpg_360x360q90.jpg_.webp,https://item.taobao.com/item.htm?id=798224599270&ns=1&abbucket=13&xxc=taobaoSearch&mi_id=00007i8HNA-wiZ8q11_4RPAPdilqyqdPcABgTDYFrw_uskw&skuId=5609507618117&priceTId=2150445b17754488513516108e10e6&utparam=%7B%22aplus_abtest%22%3A%229cf267f94a3b1fdb0cad7c58ab3a439e%22%7D&spm=a21n57.1.item.6,5609507618117,https://s.taobao.com/search?page=1&q=%E5%B8%BD%E5%AD%90&spm=a21n57.1.search_manual.0&tab=all,2026-04-06 12:14:57.159,1
帽子,回头客5万猫变MaoBian,https://store.taobao.com/shop/view_shop.htm?appUid=RAzN8HWVVUiRWsHSk2wKeKYQW4vAmuMdr8fx98uTArmpmjD2M2k&spm=a21n57.1.item.7,浙江金华,可爱小狐狸刺绣棒球帽子百搭女大头围显脸小春夏韩版时尚鸭舌帽男,¥21.3,2万+人付款,https://g-search3.alicdn.com/img/bao/uploaded/i4/i2/2213296419180/O1CN01COueJr2HgUyQNiWOr_!!2213296419180.jpg_360x360q90.jpg_.webp,https://item.taobao.com/item.htm?id=806135291699&ns=1&abbucket=13&xxc=taobaoSearch&mi_id=0000-k-NEWpzNV4vNp_ikhr-kHZz_I1jtN6dzZGsDBpqUJw&skuId=5650874370674&priceTId=2150445b17754488513516108e10e6&utparam=%7B%22aplus_abtest%22%3A%22c167d779773c08dd164329a9a04d6719%22%7D&spm=a21n57.1.item.7,5650874370674,https://s.taobao.com/search?page=1&q=%E5%B8%BD%E5%AD%90&spm=a21n57.1.search_manual.0&tab=all,2026-04-06 12:14:57.217,1
帽子,回头客1万珠式会社無印計劃フェンディ,https://store.taobao.com/shop/view_shop.htm?appUid=RAzN8HWa8mEBy34vEbcem8rU5W5HMiNisp9vyWT6zWk1hTNK21g&spm=a21n57.1.item.8,浙江金华,日本正品代购北极熊棒球帽大头围显脸小男鸭舌帽女秋美式软顶帽子,¥17.45,4000+人付款,https://g-search3.alicdn.com/img/bao/uploaded/i4/i1/2213260287485/O1CN01Ai6Ld125ABdlc7MwA_!!2213260287485.png_360x360q90.jpg_.webp,https://item.taobao.com/item.htm?id=885637347306&ns=1&abbucket=13&xxc=taobaoSearch&mi_id=0000Y9ztrx4CejmDpI9FPl-EpCS61kLXkwgKyB6qv8v01xs&skuId=5727389820873&priceTId=2150445b17754488513516108e10e6&utparam=%7B%22aplus_abtest%22%3A%22d467f95e935178cfb39c7e89cb95ee08%22%7D&spm=a21n57.1.item.8,5727389820873,https://s.taobao.com/search?page=1&q=%E5%B8%BD%E5%AD%90&spm=a21n57.1.search_manual.0&tab=all,2026-04-06 12:14:57.279,1
帽子,回头客10万cgediao旗舰店,https://store.taobao.com/shop/view_shop.htm?appUid=RAzN8HWbKJEfcbBTgmzAzsrtwnkjarJ1dKjpRNLwSvFfb9cMwi3&spm=a21n57.1.item.9,浙江金华,鸭舌帽女2026新款春夏大头围宽檐遮阳显脸小防晒米白色棒球帽子男,¥19.8,4万+人付款,https://g-search2.alicdn.com/img/bao/uploaded/i4/i4/2205861633330/O1CN01P5NR9i1aTBymVhOUE_!!4611686018427387186-0-item_pic.jpg_360x360q90.jpg_.webp,https://detail.tmall.com/item.htm?id=697081678928&ns=1&abbucket=13&xxc=taobaoSearch&mi_id=00005AyS4cMEvbir6ptevb8QcUkf9t-x8Ayqe5NF-xM-gDc&skuId=5915846057292&priceTId=2150445b17754488513516108e10e6&utparam=%7B%22aplus_abtest%22%3A%223b96a71ce19e247062876469e1234901%22%7D&spm=a21n57.1.item.9,5915846057292,https://s.taobao.com/search?page=1&q=%E5%B8%BD%E5%AD%90&spm=a21n57.1.search_manual.0&tab=all,2026-04-06 12:14:57.350,1
帽子,回头客2万弥潮针织帽业,https://store.taobao.com/shop/view_shop.htm?appUid=RAzN8HAxp61sxfDqrbxtFm6Kj1Cqj&spm=a21n57.1.item.10,浙江宁波,鸭舌帽女大帽檐显脸小2026新款防晒遮阳帽宽檐软顶百搭刺绣棒球帽,¥34,,https://g-search3.alicdn.com/img/bao/uploaded/i4/i2/50872989/O1CN01naTl7r1Xx0y4EVYCR_!!50872989.jpg_360x360q90.jpg_.webp,https://item.taobao.com/item.htm?id=1029588823889&ns=1&abbucket=13&xxc=taobaoSearch&mi_id=0000h8Gwt0_UoCF637_8HDmNCeZHNQIut0Khf8Gb87Ohzlw&skuId=6044219997637&priceTId=2150445b17754488513516108e10e6&utparam=%7B%22aplus_abtest%22%3A%2232be846dbbce099d06dd408abfd8791c%22%7D&spm=a21n57.1.item.10,6044219997637,https://s.taobao.com/search?page=1&q=%E5%B8%BD%E5%AD%90&spm=a21n57.1.search_manual.0&tab=all,2026-04-06 12:14:57.415,1
