关键词,店铺名称,店铺链接,地理位置,产品名称,产品价格,付款人数,图片地址,商品链接,商品id,当前页面网址,当前时间,页码
休闲鞋,匹克广澄专卖店,https://click.simba.taobao.com/cc_im?p=%D0%DD%CF%D0%D0%AC&s=1333238698&k=2337&e=%2FI1xBEA4srysdrmuF0MA%2FOPWNNA%2BylFPakBZACKdBmRfSr9XC3Ofz3tYjie%2FlhOQPB01Itgd08BxYM3Nc3NMNr%2F384gsoNXRQGwBdl0BNbYcPa6KJhivaA8C98wpAben5WT4QW1iSzWLXyTm0r7A%2B%2BgPe6CYcCP775hzwt2Bhr8q%2F9iMUjH2s3D2Z5HPeJiiB3YmYuwkW08G26D%2BuJsNLhQKzJeLzb5QvjYXTjB8Ldq7wQk%2B7BmP%2FhwG2Po0teezA8S0jahppILhed5wKfg0wUL5PrX6nZQclRbKKSeii6AlmY30yWWX8VMT%2FJznKgEcfxVWrF4XeLaHhboxypaN18Bzj%2B5MG523KPXigGF%2FSnO7dtKbvWn1EV2MiTiqnY44%2BWf3Kd%2FmLE%2FBYwoFyppTn57lXt576ZGNffemwr6fQHFRatTEYcjiTgu0rxWmWgxxwRChLLPE4JRTVfp602YFN0KgDEgKq5mxeeddPHiO6p9TtAMIH6GY9uFMc1KwdwUMLC7xVpGeUjzsLwaN5An934zizYjXBddVowX5DehG9L5rTwpa4HjIgn7rUhLB%2BbI2yBmn0D6wSSgIv7bhZ6jk%2FYk7Yl1WvXBIZDlKcFE9xUhLZ%2FAU3bQ%2FiixIWvSBGbOR6SxzDvN3xd5I5ynh03HsRJPA2f%2F5IKQY7%2B9rttOzGf5Q%2FivkfJ4FrFTS5H9zlHmzq6nUXUULvw9RdxWYVLRKCaeWL%2FKyIyvaS2Xqw0cCQfGw49DLHSiXYL1GibhJDbFpFGdEGAIt03FJdKcg5Rt1sjty8vP%2BoUVYN3AXcmdDXgrjG4Qr51kLMFAorYRnt1aIld8ppKbuzbwy30mM7WrxSzgwQYxUH4AagTm%2BOIXg2c1ycfbCs9jpqgQfWSdmK8ZhX3koKvmidE%2Bg%2FhrUxj3haiBGszJETkzyx5nsfEF9eeGvR%2BpM2L2LDjkM3OX2MBEZDqbNCnozX3lr2RPytj%2BMsz8s%2B77%2BYfl5XdK4z3KvB9L0wdzc59Qs1pQL3tOUed83j0x%2BxnAT6FEQKVAlIdU8dxyDBWWrZQjlPa%2BIpqC8ltGpi0GkX32b6%2BYbIyStdrWFO1bnhGLYG1uBwq%2FCeSaX1tTF75MgNp4gaqNMt7xL404gOzP2WSan6zomjlNAebPvOYcJ6lntXPOOJrjw8pQcCcL5qkNEKqjcVG%2Ft0%2BndfkLRjVfxSQm6%2FWpZCM82T9uhYacNrndQKNcQMcdU%2FbgZV57fwEu%2BS%2FoWQJUXId66sl%2BSoCZO4kwCd8hr0LiZnW4DCzT7Q%2BXc8zYTzkjCybCM6AEI8s3lk%2Fj1bWRmQLQFltZVlDtXJwU27HR1TX95%2BIwR54El%2Bo2m6CESL%2FjmsIpu10ZZJP0XnMSs3ZFHl%2FSfDxRDgrCXZwJ6zz6wvUBH87S%2FovlLrEyL%2B0KzZ3qKGzppUPwF6kpmQUTpANsI1OaxJQ%2BGM2G%2BezFRuMmmAwJUzwKqy5AEPs3NBP6oCDCOPGoh9jgrqB6w6kf4161Utd%2BZXtmb9VI9KO7a34TcUgFp4lS0EIKG4lxCh4%2BFbuuWbKI0jVwupdjKCKR6wTK%2BXSQz55wvUUfOzXcjtgssuqhKR1qftfHvMtum6FJYN2kS07D8BMNr1IzdNUl8jOLNiNcF11Wg%2F6enA0YDtL62dhV3fy2EJUdQmeuoU5puvws7NZJdpv5zob8but8pGORvoIkhXWzosdvRgx2oR%2F6ZD9Rpon07X%2BL4KVDjyYEGsQ%2FBJ0vgQtzNpbSg%2F4xzAKo8R8lXSXCsfdqMsFVAwgDf7NiEgejR9Y210XAnFssLrc3Jf1okgbjmKYFEWTqq%2FpkP1GmifTtf4vgpUOPJgQTJFOk7XsI1hM%2FB8TeWl4kEwMbyt%2B9rN1Mepq3mAmt6OlNeDqURA3iDrxphO8uJM6mqgvcBhPgKQ%2F3mhsiKvv7HHyd%2Bmfd0%2Bq9mHiy7xmAuiJDbA%2Frv6MWnGyB3UfzTE67LL4yWKYRxr7%2BOZQ%2BxPGK3fuiswu63rF1JWahzrwIzkErCT3jwA5a11HYvRrFYiwde0aLHphCC6231foPPqwAsM%2BSp2jyfp2RXBwPx9dO8KjD9GHgZmI9ouhpmE9FIu6xdQqBunhXVRw5wqlKVNfbptjeGDqsE%2B7Y9yyrGOstCNgt22D7uQ0kOGobKwag0NScLuWwGxKgOAnQjR2OaqCRB5GcDrvqzpdI0d8J7P13eYFHf1lUgwxOr%2FbOsL9Wru%2B7s%2FlpLEzRaZZ91DRFdXb8%2FClTTomn751pO6sWiwG3aiT1eJxt0%2BWglV3FmyqbU4w4u88SceoJwjE6Z0CqlN0mlYhRUWl2bwX8hUplkKAMy&mm_sceneid=0_0_9911402835_0&spm=a21n57.1.item.1,浙江温州,匹克PEAK小白鞋丨板鞋女潮流春季学生经典百搭运动鞋子轻便休闲鞋,¥124.59,100+人付款,http://img.alicdn.com/img/O1CN01cSD7UH1F5HPqZZqhC_!!2221537330435.jpg_360x360q90.jpg_.webp,https://click.simba.taobao.com/cc_im?p=%D0%DD%CF%D0%D0%AC&s=1333238698&k=2381&e=YvKU6py08O6sdrmuF0MA%2FOPWNNA%2BylFPakBZACKdBmRfSr9XC3Ofz3tYjie%2FlhOQPB01Itgd08DDX0eFTAjVA7%2F384gsoNXRQGwBdl0BNbYcPa6KJhivaA8C98wpAben5WT4QW1iSzWLXyTm0r7A%2B%2BgPe6CYcCP775hzwt2Bhr8q%2F9iMUjH2s3D2Z5HPeJiiB3YmYuwkW08G26D%2BuJsNLhQKzJeLzb5QvjYXTjB8Ldq7wQk%2B7BmP%2FhwG2Po0teezA8S0jahppILhed5wKfg0wUL5PrX6nZQclRbKKSeii6AlmY30yWWX8VMT%2FJznKgEcfxVWrF4XeLaHhboxypaN18Bzj%2B5MG523KPXigGF%2FSnO7dtKbvWn1EV2MiTiqnY44%2BWf3Kd%2FmLE%2FBYwoFyppTn57lXt576ZGNffemwr6fQHFRatTEYcjiTgu0rxWmWgxxwRChLLPE4JRTVfp602YFN0KgDEgKq5mxeeddPHiO6p9TtAMIH6GY9uFMc1KwdwUMLC7xVpGeUjzsLwaN5An934zizYjXBddVowX5DehG9L5rTwpa4HjIgn7rUhLB%2BbI2yBmn0D6wSSgIv7bhZ6jk%2FYk7Yl1WvXBIZDlKcFE9xUhLZ%2FAU3bQ%2FiixIWvSBGbOR6SxzDvN3xd5I5ynh03HsRJPA2f%2F5IKQY7%2B9rttOzGf5Q%2FivkfJ4FrOkwDT%2FXcyWJq6nUXUULvw%2FZ7qzEa0YFa20o5myMUsLsSlSXlWOmupJfeSgq%2BaJ0T6rUunzq%2B5F2p5Yv8rIjK9pLZerDRwJB8bDj0MsdKJdgvUaJuEkNsWkUZ0QYAi3TcUl0pyDlG3WyO3Ly8%2F6hRVg3cBdyZ0NeCuMbhCvnWQswUCithGe3VoiV3ymkpu7NvDLfSYztavFLODBBjFQfgBqBOb44heDZzXJx9sKz2OmqBB9ZJ2YrxmFfeSgq%2BaJ0T6D%2BGtTGPeFqIEazMkROTPLHmex8QX154a9H6kzYvYsOOQzc5fYwERkOps0KejNfeWvZE%2FK2P4yzPyz7vv5h%2BXld0rjPcq8H0vTB3Nzn1CzWlAve05R53zePTH7GcBPoURApUCUh1Tx3HIMFZatlCOU9r4imoLyW0amLQaRffZvr5hsjJK12tYU7VueEYtgbW4HCr8J5JpfW1MXvkyA2niBqo0y3vEvjTiA7M%2FZZJqfrOiaOU0B5s%2B85hwnqWe1c844muPDylBwJwvmqQ0QqqNxUb%2B3T6d1%2BQtGNV%2FFJCbr9alkIzzZP26Fhpw2ud1Ao1xAxx1T9uBlXnt%2FAS75L%2BhZAlRch3rqyX5KgJk7iTAJ3yGvQuJmdbgMLNPtD5dzzNhPOSMLJsIzoAQjyzeWT%2BPVtZGZAtAWW1lWUO1cnBTbsdHVNf3n4jBHngSX6jaboIRIv%2BOawim7XRlkk%2FRecxKzdkUeX9J8PFEOCsJdnAnrPPrC9QEfztL%2Bi%2BUusTIv7QrNneoobOmlQ%2FAXqSmZBROkA2wjU5rElD4YzYb57MVG4yaYDAlTPAqrLkAQ%2Bzc0E%2FqgIMI48aiH2OCuoHrDqR%2FjXrVS135le2Zv1Uj0o7trfhNxSAWniVLQQgobiXEKHj4Vu65ZsojSNXC6l2MoIpHrBMr5dJDPnnC9RR87NdyO2Cyy6qEpHWp%2B18e8y26boUlg3aRLTsPwEw2vUjN01SXyM4s2I1wXXVaD%2Fp6cDRgO0vrZ2FXd%2FLYQlR1CZ66hTmm6%2FCzs1kl2m%2FnOhvxu63ykY5G%2BgiSFdbOix29GDHahH%2FpkP1GmifTtf4vgpUOPJgQaxD8EnS%2BBC3M2ltKD%2FjHMAqjxHyVdJcKx92oywVUDCAN%2Fs2ISB6NH1jbXRcCcWywutzcl%2FWiSBuOYpgURZOqr%2BmQ%2FUaaJ9O1%2Fi%2BClQ48mBBMkU6TtewjWEz8HxN5aXiQTAxvK372s3Ux6mreYCa3o6U14OpREDeIOvGmE7y4kzqaqC9wGE%2BApD%2FeaGyIq%2B%2FscfJ36Z93T6r2YeLLvGYC6IkNsD%2Bu%2FoxacbIHdR%2FNMTrssvjJYphHGvv45lD7E8Yrd%2B6KzC7resXUlZqHOvAjOQSsJPePADlrXUdi9GsViLB17RosemEILrbfV%2Bg8%2BrACwz5KnaPJ%2BnZFcHA%2FH107wqMP0YeBmYj2i6GmYT0Ui7rF1CoG6eFdVHDnCqUpU19um2N4YOqwT7tj3LKsY6y0I2C3bYPu5DSQ4ahsrBqDQ1Jwu5bAbEqA4CdCNHY5qoJEHkZwOu%2BrOl0jR3wns%2FXd5gUd%2FWVSDDE6v9s6wv1au77uz%2BWksTNFpln3UNEV1dvz8KVNOiafvnWk7qxaLAbdqJPV4nG3T5aCVXcWbKptTjDi7zxJx6gnCMTpnQKqU3SaViFFRaXZvBfyFSmWQoAzI%3D&mm_sceneid=0_0_9911402835_0&a=xxc%3Dad_ztc%26mi_id%3D0000kyBqtiLdcAfpIOflb9w8tNc7tgeghRoPfjVL8xVlBYQ%26skuId%3D6190623067199%26priceTId%3D213e030e17754577175297268e0ef6%26utparam%3D%2525257B%25252522aplus_abtest%25252522%2525253A%2525252299118faeb32e6d5a35a4628bcf57fb43%25252522%2525257D%26&id=1015821435544&spm=a21n57.1.item.1,,https://s.taobao.com/search?page=1&q=%E4%BC%91%E9%97%B2%E9%9E%8B&spm=a21n57.1.search_manual.0&tab=all,2026-04-06 14:42:37.989,1
休闲鞋,回头客2万余一可 YU1KE ＆环球HUANQIU,https://store.taobao.com/shop/view_shop.htm?appUid=RAzN8HWMiWWCpxzDx3ejMETF9uQdjzJuPwjtg8YggYofDg1WH6h&spm=a21n57.1.item.2,浙江温州,粉色德训双网板鞋女丑萌春夏新款chic小众韩版透气运动阿甘小白鞋,¥59.9,3000+人付款,https://g-search2.alicdn.com/img/bao/uploaded/i4/i1/2238365781/O1CN01Hsi2NV1sZkgi1ZynG_!!4611686018427379797-0-item_pic.jpg_360x360q90.jpg_.webp,https://item.taobao.com/item.htm?id=815028646099&ns=1&abbucket=18&xxc=taobaoSearch&mi_id=0000MN0GHG5gmqPvHCd1uVfoOzkqexcDMIbI_4nyu7Vx2bM&skuId=5681347491673&priceTId=213e030e17754577175297268e0ef6&utparam=%7B%22aplus_abtest%22%3A%222b0844d205426fc9f0e4313ceedc5663%22%7D&spm=a21n57.1.item.2,5681347491673,https://s.taobao.com/search?page=1&q=%E4%BC%91%E9%97%B2%E9%9E%8B&spm=a21n57.1.search_manual.0&tab=all,2026-04-06 14:42:38.032,1
休闲鞋,回头客1万痞老板原创女鞋,https://store.taobao.com/shop/view_shop.htm?appUid=RAzN8HWazChnQKMc347Z2Gzy38m2mDZ7cmhGijkxvbUJbYnXFCV&spm=a21n57.1.item.3,浙江台州,白色复古时尚百搭平底德训鞋女2025新款春季轻便软底阿甘运动板鞋,¥44.9,1000+人付款,https://g-search3.alicdn.com/img/bao/uploaded/i4/i1/2351944761/O1CN01YCgtG41l2alUJdQUM_!!2351944761.jpg_360x360q90.jpg_.webp,https://item.taobao.com/item.htm?id=806977119456&ns=1&abbucket=18&xxc=taobaoSearch&mi_id=0000T17xtdM-sIHEXL05ihFCuK9KEZcHCW5z-rrxiH4QJCs&skuId=5488914761891&priceTId=213e030e17754577175297268e0ef6&utparam=%7B%22aplus_abtest%22%3A%229ee3251a894af3aa46e76c93be121d97%22%7D&spm=a21n57.1.item.3,5488914761891,https://s.taobao.com/search?page=1&q=%E4%BC%91%E9%97%B2%E9%9E%8B&spm=a21n57.1.search_manual.0&tab=all,2026-04-06 14:42:38.087,1
休闲鞋,回头客20万不二鞋坊 不忘初心,https://store.taobao.com/shop/view_shop.htm?appUid=RAzN8HWWWhL22Nu8i5FnxbFQQPsczZ9c3KpbEfiWWzDd1McKnqX&spm=a21n57.1.item.4,广东惠州,真皮版！复古红色内增高德训鞋女2026新款春季平底运动阿甘休闲鞋,¥118,1万+人付款,https://gw.alicdn.com/imgextra/O1CN01u6Qof31fAwKB6KHrf_!!2247173967-0-picasso.jpg_360x360q90.jpg_.webp,https://item.taobao.com/item.htm?id=891981292389&ns=1&abbucket=18&xxc=taobaoSearch&mi_id=0000YQ8icvmyY3V0y6MdDdakjwcLBapkAOxNF7Lx98jrwac&skuId=5937795874744&priceTId=213e030e17754577175297268e0ef6&utparam=%7B%22aplus_abtest%22%3A%229f7d3afa8e111ead82a08b253f94d86f%22%7D&spm=a21n57.1.item.4,5937795874744,https://s.taobao.com/search?page=1&q=%E4%BC%91%E9%97%B2%E9%9E%8B&spm=a21n57.1.search_manual.0&tab=all,2026-04-06 14:42:38.144,1
休闲鞋,6年老店正品     阿迪三叶草,https://store.taobao.com/shop/view_shop.htm?appUid=RAzN8HWNrwZ9vbxiqV8x8FuCrShSjGh4ZLNAhWNQ5t8KmFTjR7f&spm=a21n57.1.item.5,上海,专柜2026三叶草贝壳头金标男女鞋情侣奶油花边板鞋休闲运动小白鞋,¥160.35,12人付款,https://g-search1.alicdn.com/img/bao/uploaded/i4/i1/4055925807/O1CN01cOcfAN1slf5NNnEEK_!!4055925807.jpg_360x360q90.jpg_.webp,https://item.taobao.com/item.htm?id=1038836526214&ns=1&abbucket=18&xxc=taobaoSearch&mi_id=0000vftevRBBMk7_1vA-C1NMb3oP0HYcjOHUKMIp8lZxi6Q&skuId=6058482533492&priceTId=213e030e17754577175297268e0ef6&utparam=%7B%22aplus_abtest%22%3A%221c5c5b7b8e3c09614258170a71c28aa4%22%7D&spm=a21n57.1.item.5,6058482533492,https://s.taobao.com/search?page=1&q=%E4%BC%91%E9%97%B2%E9%9E%8B&spm=a21n57.1.search_manual.0&tab=all,2026-04-06 14:42:38.197,1
休闲鞋,回头客8万吻卡佛旗舰店,https://store.taobao.com/shop/view_shop.htm?appUid=RAzN8HWUy9qtWFz2dmayeinw1vGHqA75nGrLDtMenC74dFPYxf7&spm=a21n57.1.item.6,浙江台州,小白运动鞋女2026新款春秋季爆款轻便阿甘鞋厚底老爹鞋百搭跑步鞋,¥34.8,3000+人付款,https://g-search3.alicdn.com/img/bao/uploaded/i4/i3/3425540944/O1CN018XPTYV1IqOmWEursL_!!0-item_pic.jpg_360x360q90.jpg_.webp,https://detail.tmall.com/item.htm?id=747237354140&ns=1&abbucket=18&xxc=taobaoSearch&mi_id=0000kwqxL1i-iNIUlBRaZilkh7MCcDR79P2uY6JNfGykmXw&skuId=5325202755363&priceTId=213e030e17754577175297268e0ef6&utparam=%7B%22aplus_abtest%22%3A%228a2817ab724ca0dd3b6e447f9dc9df82%22%7D&spm=a21n57.1.item.6,5325202755363,https://s.taobao.com/search?page=1&q=%E4%BC%91%E9%97%B2%E9%9E%8B&spm=a21n57.1.search_manual.0&tab=all,2026-04-06 14:42:38.246,1
休闲鞋,回头客6万易少年yishaonian,https://store.taobao.com/shop/view_shop.htm?appUid=RAzN8HWRBZvdnx7JA4iveuE2JQpnNeoFhjhcEteRJ5EuPXQZ2tH&spm=a21n57.1.item.7,浙江温州,港风网面银灰色厚底增高老爹鞋女ins超火百搭运动休闲鞋2026春季,¥68.8,3000+人付款,https://g-search3.alicdn.com/img/bao/uploaded/i4/i3/2948243991/O1CN01DFija41fLvjuxO3LI_!!2948243991.jpg_360x360q90.jpg_.webp,https://item.taobao.com/item.htm?id=773375425838&ns=1&abbucket=18&xxc=taobaoSearch&mi_id=0000yx4S-BUdX4yk3amr1ML2hGI-_M744KKjjvSdbScZGII&skuId=5294932929879&priceTId=213e030e17754577175297268e0ef6&utparam=%7B%22aplus_abtest%22%3A%22077f470d8aeb2077a8879ad09f1a81b5%22%7D&spm=a21n57.1.item.7,5294932929879,https://s.taobao.com/search?page=1&q=%E4%BC%91%E9%97%B2%E9%9E%8B&spm=a21n57.1.search_manual.0&tab=all,2026-04-06 14:42:38.295,1
休闲鞋,回头客6万易少年yishaonian,https://store.taobao.com/shop/view_shop.htm?appUid=RAzN8HWRBZvdnx7JA4iveuE2JQpnNeoFhjhcEteRJ5EuPXQZ2tH&spm=a21n57.1.item.8,河北保定,易少年面包鞋多巴胺春季新款情侣ins潮2026运动休闲百搭学生板鞋,¥67.3,6000+人付款,https://g-search3.alicdn.com/img/bao/uploaded/i4/i2/2948243991/O1CN016gI6Wr1fLvgRawwGj_!!2948243991.jpg_360x360q90.jpg_.webp,https://item.taobao.com/item.htm?id=798020894218&ns=1&abbucket=18&xxc=taobaoSearch&mi_id=0000gm4siNEhqbkdfr054XZr6FuSR8TvQA7JmuS-nFgWEhM&skuId=5438651488650&priceTId=213e030e17754577175297268e0ef6&utparam=%7B%22aplus_abtest%22%3A%2289ff66bd89679aabe7e53bef86cae2bc%22%7D&spm=a21n57.1.item.8,5438651488650,https://s.taobao.com/search?page=1&q=%E4%BC%91%E9%97%B2%E9%9E%8B&spm=a21n57.1.search_manual.0&tab=all,2026-04-06 14:42:38.347,1
休闲鞋,回头客10万鲁鲁蛋,https://store.taobao.com/shop/view_shop.htm?appUid=RAzN8HWXdw84stvXyifKiAreazup2zGVzqDyLk7QHiqzbe8NKJZ&spm=a21n57.1.item.9,浙江温州,鲁鲁蛋韩系小众百搭板鞋女款2026新款春夏厚底小白鞋学生德训鞋,¥62.9,5000+人付款,https://g-search2.alicdn.com/img/bao/uploaded/i4/i3/289531074/O1CN01V7L3B41JnwPvgamIT_!!289531074.jpg_360x360q90.jpg_.webp,https://item.taobao.com/item.htm?id=901422898712&ns=1&abbucket=18&xxc=taobaoSearch&mi_id=00005fzWEhvFzV0QZk47r1ke4yqa38J0X-Pbmii3qi5Rdf8&skuId=5759453885559&priceTId=213e030e17754577175297268e0ef6&utparam=%7B%22aplus_abtest%22%3A%224fc474b1752f7f8e10fd65d11aa2303f%22%7D&spm=a21n57.1.item.9,5759453885559,https://s.taobao.com/search?page=1&q=%E4%BC%91%E9%97%B2%E9%9E%8B&spm=a21n57.1.search_manual.0&tab=all,2026-04-06 14:42:38.394,1
休闲鞋,喜叔Think,https://store.taobao.com/shop/view_shop.htm?appUid=RAzN8HWZJ9cKNYdfJJDJBddL9AacX2Tgx48JdmficyhSqSBdKQr&spm=a21n57.1.item.10,浙江温州,喜叔小众肉粉色德训鞋女2026春季新款丑萌大头板鞋厚底运动休闲鞋,¥62.9,4000+人付款,https://g-search3.alicdn.com/img/bao/uploaded/i4/i1/2989609162/O1CN01Oh6azp2HYFkRzm904_!!2989609162.jpg_360x360q90.jpg_.webp,https://item.taobao.com/item.htm?id=838470566341&ns=1&abbucket=18&xxc=taobaoSearch&mi_id=0000BYr5AT80ItoyD8c9PPbD6daPM5oXxk-NsiCwamDDT_o&skuId=5767369926680&priceTId=213e030e17754577175297268e0ef6&utparam=%7B%22aplus_abtest%22%3A%22fc4e622143912986013e0843683a87e2%22%7D&spm=a21n57.1.item.10,5767369926680,https://s.taobao.com/search?page=1&q=%E4%BC%91%E9%97%B2%E9%9E%8B&spm=a21n57.1.search_manual.0&tab=all,2026-04-06 14:42:38.441,1
