关键词,店铺名称,店铺链接,地理位置,产品名称,产品价格,付款人数,图片地址,商品链接,商品id,当前页面网址,当前时间,页码
凉鞋,回头客3万都市丽人旗舰店,https://click.simba.taobao.com/cc_im?p=%C1%B9%D0%AC&s=1001665927&k=2317&e=rco%2Fj0xkGq%2FLtFsEdqNQDwwpAuEzysH%2BcN2h3ODIz3Ufex94yChO%2Fvl0A1PvNQUDQBZ%2BImY%2Fh7GXTJzKmOhFMT7StcsN5UGz7QSob9PnRJcZxyKTobVCMcMbWOvd3ue3dhuH8mF1%2F71kQQ7GfpjDLUjQuZnbpMgNLxNTREG0%2Fy%2BdWaBOtnhaRI3WK9iek5xU9SCOoLKZYP%2BkrRNP1BUTZ%2B4r8VKtPaSzLH%2FLBMPtpp767SILLk5aT32YAIA%2FeaoiJdbylUJSyNAzUggS2Vq9C4my%2FqBHbFn9Fwz%2FbatFE%2FNNkq9PFD1ovaEZ%2F5edAt%2FrPk7A5%2FZdaQsvfreUJi%2Fzxw8zNauykpA5aRPhjznKUk%2FabBiKZrlczRY9rmPWBHu5dGmniVUeshCgy%2BIld5zW6mepZsRKwC63zGFjL9LHuiJmOoyLVqxk4%2Bimta2GWDWt4nkMS0HHP57RNELF3HI4eqOPjT%2Fnt82LEDinsL0JhpSvldWEZmw4qzZyL0nWkg4PKOhrkE09iyGR4WfmUNJB1JFDyn1M3%2BTz8l9E%2Fp7x6JkjwRkxzneUKTwssZgakoQDOKdTK3kLsQ%2BunBi26uB9xd04VjpBUGDJtmjgaX4HH4cAwuG6rplWjyZbZM9KbWMqorijw2SLOUNLxKRyEc9YtXAgxNHhNvkHl5DupLE13eozJEj9DW4zSHX80pfnVSTCw2pk%2FEA6itZtYV7cGvvynZqrs4cGdhE%2Bi0wVHJ6HwjiXUpGyYm4vzTvaQSJOEKV2vsGgEBJxJECZ6F8bamUZVyvekJPnBvkr4rT56CUCV%2Bxz1ExFi88wK1GtaM09K%2Bg6uTg%2BAtpDZ6zkJXRnWDYL5KRkQISqlyfHWZYDv%2FUNcn%2B%2BscbhMfWYTx9GKFFvPWDg3947yZuiAjnNDmV0ZutLN%2F6PB%2BOsR5A2xuzNfDJ1wxcrCiHDrClwVVP6Jr1NatygJOXhkuzD2HWOCnA7Jq%2BEyE0VmAHmNrJU3tjqAWGX0MIHSREl1Xj3cU405LPgNcW%2B5QHyy7mOslDjseJBlqQSyqE4XTYkiEQaIg9UHDjSQKMstiCyfUiuMATDoQRMqjhZYE4AxMvv%2F1OfNGPLBe6GhotYxG%2BR7YkqNHTF3oBWwWNVAvFjdGkRLdytOuUiXANoFgVpgdVvHdoXimUYBreZxdWnKpYf%2BLDXFSj6e1r58h4h6GhcbpqJnvp1keqRljJOp9uzIZk2lT6j3O2QgG%2BRyKH3F89HxuzkxuzNfDJ1wxeL9rABShgNlO77nnmkt5web%2B8y2JQiy4cWdx%2BKFVeNUO9frnKLApTO1AozE8d3oMXyGP9kQ0pIpnYK%2B3Y0%2FzLIXDxZqUekEosyRqJcdvuUTVR%2BVnyd33LjU8WWJTIbYpo1Wp3amy89fNtdBwJlmd8GOgjJj9K26DAkVG7LvuNnIYXaLb3ZXFtAegqrKdRhGFQdQkra%2Bd1dQMpA9YUPrzkiSuKToDipM8uxPytAMa9U2PsJ7bwu%2B0qgZT%2FZeob7Crhj%2F%2BWqEvbs6sfZPi852QoZDLjWJRp0xqhoDtgmIH8s6igLfZqbKK2mTgUQ5rTSBAMAFGj3qIN2bAsNEUYTOHz%2BWZYDv%2FUNcn8v0FtwY42kpZ9N5NI8jDStIM2WtvMuxkBi%2BycX6%2BAUWaVeSXbMKNgR4novl83m7vHDFOB7aUM0miIPVBw40kCjHC7I793cPTouJsysS5aMRopFm2ZZYwLyuq6wDBkVnpDD9XeVrloi9PC81hx8Bmi5ZCxKIJ3tPQEPE%2B%2BiC1f0qz79GqHzBZb2qe%2BqsxlBMWGUY1Ae7rKm0m%2B5dr5Mz4Z4%2BfzCZ2r0zp610fdzNnU%2BplELVlLAY%2FCAFSHR%2FadpSzsYjc%2FBUDyat0lw2zPpqBP%2F6KaEMwTHtqORFWS4xgLrJEb4%2BuJ%2F9VnQ13obniLtODFKOALr1eBmGA5BF92DvUUaeM%2FjAxu1rZPnHtbWENMsS8x0azjkNy198yyjpLpdCbaaBcKnXmncY2rZXnD3lqAz1AozE8d3oMVGQR5NnZkoYXVxoxV5ZhpxVWClZ%2BLDxJ8o49mWrxadqRJl1biiiPHJxuzNfDJ1wxdaQla2lS14eHVp%2BpFhXah8%2F42UzOdQhmQsj%2B88V6pUe1LK64KA3KiSuyfNhVD1zHV27PaX%2BUY12VnAhFWPqTvPnWVnf8A5IZ7WqjT3c7BREIvoXoOcdC7qKAt9mpsoraboPVAuisJB03hDWmyt0VgtRYXCrGzE9ylF3nj4LTWqV1K6ftvrgb1c20E2cTA7ptE2KwUGg2Lq4%2FHgDP%2FoyulWt%2F1B2EKS6jI%3D&mm_sceneid=0_0_5478829484_0&spm=a21n57.1.item.1,浙江金华,都市丽人医护士eva防滑防臭凉拖鞋厚底女外穿手术室洞洞鞋新款男,¥27.71,300+人付款,http://img.alicdn.com/img/O1CN01Zuy3cW2JYpbq8RHbd_!!4611686018427386394-0-item_pic.jpg_360x360q90.jpg_.webp,https://click.simba.taobao.com/cc_im?p=%C1%B9%D0%AC&s=1001665927&k=2349&e=YjbAuvFZhSXLtFsEdqNQDwwpAuEzysH%2BcN2h3ODIz3Ufex94yChO%2Fvl0A1PvNQUDQBZ%2BImY%2Fh7GXTJzKmOhFMT7StcsN5UGz7QSob9PnRJcZxyKTobVCMcMbWOvd3ue3dhuH8mF1%2F71kQQ7GfpjDLUjQuZnbpMgNLxNTREG0%2Fy%2BdWaBOtnhaRI3WK9iek5xU9SCOoLKZYP%2BkrRNP1BUTZ%2B4r8VKtPaSzLH%2FLBMPtpp767SILLk5aT32YAIA%2FeaoiJdbylUJSyNAzUggS2Vq9C4my%2FqBHbFn9Fwz%2FbatFE%2FNNkq9PFD1ovaEZ%2F5edAt%2FrPk7A5%2FZdaQsvfreUJi%2Fzxw8zNauykpA5aRPhjznKUk%2FabBiKZrlczRY9rmPWBHu5dGmniVUeshCgy%2BIld5zW6mepZsRKwC63zGFjL9LHuiJmOoyLVqxk4%2Bimta2GWDWt4nkMS0HHP57RNELF3HI4eqOPjT%2Fnt82LEDinsL0JhpSvldWEZmw4qzZyL0nWkg4PKOhrkE09iyGR4WfmUNJB1JFDyn1M3%2BTz8l9E%2Fp7x6JkjwRkxzneUKTwssZgakoQDOKdTK3kLsQ%2BunBi26uB9xd04VjpBUGDJtmjgaX4HH4cAwuG6rplWjyZbZM9KbWMqF6XhGRKeSEfDbTKrnzLkyatcFpT2JDICqZXRZwbvSiZESmXNz8aJSwiC4MoWOcYPHyxGLnx0x%2FsVS9dA7K782yqbOFsQdV8bGmrxBIgWbP6dtz%2F70GRE36bJ4gP10lnPhNUHfmfHV421R8LpYnRJVszG2gMmfzISAcgZXYGOE9KKrRmMx%2Fef5JUhcHCHBKoHKwnJRPNma3HbZptTYRGzNcj3htiTku34RafS0qKth9MZw%2FvW5eKMcySamUPJXfSweZL%2FKWl3zd4VS9dA7K782yQUXKukgtpbEYiwKH0qpAe7UA2qubhs1TnnGnPA6SV0b1Tery8l0piG9NtB7G2fWYOwDgY9RAOP4pz81pjjXViwj8sa1TWaO%2BPPeLB%2FaSIBlfLDVOU81QG01aM%2FNtaT3x9Ust7TUeaI4SwBLAeL175wvTiMpR%2B%2FmRChwoOn1AwzUkZN%2FbUM4i7gvbT1dHA37o0fj%2BMt0GpbAH58bR4wUj4M90%2FAHLV%2BOo3lEihvdyaUXdSozzvd4sj9Y7%2BNh607%2BrfcSs%2FXOhEBIHoV7HBRz3%2B6xk5l7IPrEjp4JU6wjynlHyf6cjFBo6PWnrTgYUaKwOQFNBGtcBaR4vfGyDku6da8cuu2rGMYABX8Vt%2BNGz6mxJvVf%2FHRzoDmis0hz%2BUgirrU9mJJUt%2FCAzp4payu4e%2BvcKX%2BGAjemD6ruxc5YIZdSg3vGaRmn7ct8nvCvdA%2FCqluQD3VmMQtm3Wxj4pDyw3%2B0S1dAFI63%2B77nnmkt5we%2BeAzeEzpP%2FY2KwUGg2Lq4%2FHgDP%2FoyulWQtt2Dghj1E5f97Ab8n2WcUw6kcXVAvcpaNbbB3exv%2FSp%2Bqdfm%2BaSXiKqleQv30p%2F%2B9kpEUyaNsAQbvVzpE%2BdCMF9WgK7U6KLTLYi2k9zqHli3KgOnGpmJpcGCqwmtflz50T5lbrDRVNWsmLuvBvvTUGne0vQNBwshBtAH3KAY%2B3%2BrqArJYgbV%2BysUN%2Bita0IOo%2BnETOR5eAVS9dA7K7821uIP5vf1g%2Bbi2oxsrSUic9f3gEKFC5i2AoAIpiRqL39nB4XdJlM1ngt2AmP0xmmpGRfOvSDdKe%2FQV36ws390EVkiouwVDBl1vpOjmoITND9pMHEtEUsD2V%2Fex4QqO1%2FR4TSK9C7czKf7RAryo46DAqQnLEWZ9NKh1YmLN%2F3rGrFnWVnf8A5IZ6mzymsf4nwqhwuyO%2Fd3D068NiA7Al7qyKAq6y4gNRbqdwo0%2BQKf7%2FtupJA1c8yMhtSSJgTyXs7unA6S7TcfqFbq2Z7MAPQinEGlRtWL19UPnA6S7TcfqFbMP8F35xgOzfXNs419R8qlousa%2FKylmFE9XpQxtsioF5fSLeqAzri3IwhV%2FtSNZGF0%2BGr7ruAV45VQIXB%2Bgzln%2Fiqgtkx8AVk4l31xh8wpdUQJEBbFTi0%2BBZ3sMQ9iuox9Ywr8LLvW3KmBTRtN09C6gsuKfA3el7x3t%2BK21WZYQOG9NtB7G2fWbUG0e6seEnurFGfdBxstP0u3UeXAmt8ErqFRq49pB%2FnmlyY8Y1LVbt9R0%2BVKm%2B2RxAMo%2FekuIbXrRr4pSRWA5emSJfq6f3NWW1e%2Ffpo2EJHYmf6aT0d%2BECEG0AfcoBj7Zh5aUDWkjItzz3shsIfzhejyi9mZHKh2SZbZM9KbWMqyl1GI0aR8ly5lzxW2wqj9hUaZZL1OI6wHEaExSz%2BiBI%3D&mm_sceneid=0_0_5478829484_0&a=xxc%3Dad_ztc%26mi_id%3D0000o8lyNgfOsgfOS9os3sB6223JIcnds_CFQWJb6nyH7fk%26skuId%3D6036466437636%26priceTId%3D213e074217754593947006602e10c3%26utparam%3D%2525257B%25252522aplus_abtest%25252522%2525253A%25252522c2ddb059c2307912054b6a748fb62e78%25252522%2525257D%26&id=1024973986468&spm=a21n57.1.item.1,,https://s.taobao.com/search?page=1&q=%E5%87%89%E9%9E%8B&spm=a21n57.1.search_manual.0&tab=all,2026-04-06 15:10:35.022,1
凉鞋,回头客10万江直树,https://store.taobao.com/shop/view_shop.htm?appUid=RAzN8HWVkkgWAyegvVQTGnctmkbmHaAnsjBBC2DjT2Qf5YGDhJN&spm=a21n57.1.item.2,浙江台州,波西米亚海岛风~！慵懒仙女风沙滩凉鞋女ins夏季复古平底凉拖鞋潮,¥57.42,4000+人付款,https://g-search2.alicdn.com/img/bao/uploaded/i4/i3/2045927428/O1CN01vlvWF724k51eym45T_!!2045927428.jpg_360x360q90.jpg_.webp,https://item.taobao.com/item.htm?id=913231192352&ns=1&abbucket=12&xxc=taobaoSearch&mi_id=0000YR4Rpi7EdrChntA25elqkbXdaEOSF2eqMfMK1bgm6sY&skuId=5944294835646&priceTId=213e074217754593947006602e10c3&utparam=%7B%22aplus_abtest%22%3A%220423d7cd103d38b21bd4347e59e1b7a9%22%7D&spm=a21n57.1.item.2,5944294835646,https://s.taobao.com/search?page=1&q=%E5%87%89%E9%9E%8B&spm=a21n57.1.search_manual.0&tab=all,2026-04-06 15:10:35.060,1
凉鞋,回头客8万吻卡佛旗舰店,https://store.taobao.com/shop/view_shop.htm?appUid=RAzN8HWUy9qtWFz2dmayeinw1vGHqA75nGrLDtMenC74dFPYxf7&spm=a21n57.1.item.3,浙江台州,粗跟罗马鞋2026款夏季新款法式字银色一字带中跟两穿高跟鞋配裙子,¥52.8,1000+人付款,https://g-search3.alicdn.com/img/bao/uploaded/i4/i3/3425540944/O1CN01jnA45T1IqOvXDGpce_!!4611686018427386704-0-item_pic.jpg_360x360q90.jpg_.webp,https://detail.tmall.com/item.htm?id=896608100636&ns=1&abbucket=12&xxc=taobaoSearch&mi_id=0000MZpLP07upV1tnyQltnxc9n6P6gfi3JnxNgnsVVrAvCU&skuId=5747007320652&priceTId=213e074217754593947006602e10c3&utparam=%7B%22aplus_abtest%22%3A%22bb68fc37ba9ee97c36b923633cd077f8%22%7D&spm=a21n57.1.item.3,5747007320652,https://s.taobao.com/search?page=1&q=%E5%87%89%E9%9E%8B&spm=a21n57.1.search_manual.0&tab=all,2026-04-06 15:10:35.117,1
凉鞋,8年老店绝非凡品潮流女鞋店,https://store.taobao.com/shop/view_shop.htm?appUid=RAzN8HWV5hZH9JRR17Jb264KfFmBwm6kZet26xuRAiXLfYj2hgy&spm=a21n57.1.item.4,浙江温州,夹趾凉鞋女2026夏季新款韩版仙女风平底百搭水钻配裙子罗马沙滩鞋,¥38,74人付款,https://g-search2.alicdn.com/img/bao/uploaded/i4/i3/3426030304/O1CN019sVFl61E7HMARy7XP_!!3426030304.jpg_360x360q90.jpg_.webp,https://item.taobao.com/item.htm?id=788511010082&ns=1&abbucket=12&xxc=taobaoSearch&mi_id=0000am7Ujt86FDro6hjyez1mlsqNKQ3qWhmExxLu-8w0PE0&skuId=5380243908629&priceTId=213e074217754593947006602e10c3&utparam=%7B%22aplus_abtest%22%3A%22e25b2216c67f19e20c62079bb980c244%22%7D&spm=a21n57.1.item.4,5380243908629,https://s.taobao.com/search?page=1&q=%E5%87%89%E9%9E%8B&spm=a21n57.1.search_manual.0&tab=all,2026-04-06 15:10:35.174,1
凉鞋,回头客8万吻卡佛旗舰店,https://store.taobao.com/shop/view_shop.htm?appUid=RAzN8HWUy9qtWFz2dmayeinw1vGHqA75nGrLDtMenC74dFPYxf7&spm=a21n57.1.item.5,浙江台州,配裙子的凉鞋女仙女风平底罗马鞋子2026年夏季新款两穿款凉拖外穿,¥30.2,5000+人付款,https://g-search1.alicdn.com/img/bao/uploaded/i4/i4/3425540944/O1CN01l328RF1IqOp6LFk03_!!0-item_pic.jpg_360x360q90.jpg_.webp,https://detail.tmall.com/item.htm?id=775706193859&ns=1&abbucket=12&xxc=taobaoSearch&mi_id=0000ckFaED4JUvz_sjAqa4R69LXCFbCQlTkYOXUKAhum4_U&skuId=5534283746418&priceTId=213e074217754593947006602e10c3&utparam=%7B%22aplus_abtest%22%3A%2214faf712cb132e648da604abaad80ad1%22%7D&spm=a21n57.1.item.5,5534283746418,https://s.taobao.com/search?page=1&q=%E5%87%89%E9%9E%8B&spm=a21n57.1.search_manual.0&tab=all,2026-04-06 15:10:35.222,1
凉鞋,回头客30万摩偲旗舰店,https://store.taobao.com/shop/view_shop.htm?appUid=RAzN8HWMx3XpvMneSu1s1tM2RkqimobE4sg99KCoeTVzBXWP2GC&spm=a21n57.1.item.6,浙江台州,厚底增高坡跟黑色凉鞋女款2026新款配裙子仙女风高跟沙滩罗马凉鞋,¥47.7,100+人付款,https://g-search3.alicdn.com/img/bao/uploaded/i4/i4/2200827962997/O1CN01Vuk9OI1Y0g40HBTPb_!!4611686018427381365-0-item_pic.jpg_360x360q90.jpg_.webp,https://detail.tmall.com/item.htm?id=921057105575&ns=1&abbucket=12&xxc=taobaoSearch&mi_id=0000nzOHEdjvuIDbCvWSXIXZm9OBQKh7-6syrilTmm_4guc&skuId=5962364375311&priceTId=213e074217754593947006602e10c3&utparam=%7B%22aplus_abtest%22%3A%221d9a15befcb5b128786f7d3a73c01e81%22%7D&spm=a21n57.1.item.6,5962364375311,https://s.taobao.com/search?page=1&q=%E5%87%89%E9%9E%8B&spm=a21n57.1.search_manual.0&tab=all,2026-04-06 15:10:35.267,1
凉鞋,回头客1万好巴适旗舰店,https://store.taobao.com/shop/view_shop.htm?appUid=RAzN8HWWejaNyy9ZktMt1dyw6MvX1FphUiACc1whMTCCaDhiR7K&spm=a21n57.1.item.7,浙江台州,配裙子两穿凉鞋女夏季2025新款甜美花朵仙女风厚底外出沙滩凉拖鞋,¥35.9,100+人付款,https://g-search3.alicdn.com/img/bao/uploaded/i4/i2/2262578533/O1CN01YJxfaL2CuAZSxrF4v_!!0-item_pic.jpg_360x360q90.jpg_.webp,https://detail.tmall.com/item.htm?id=777555619522&ns=1&abbucket=12&xxc=taobaoSearch&mi_id=0000ANAjpzxTXY_bKgjXMfgHBomySShESw6z6AmzRE6qjYU&skuId=5510280330659&priceTId=213e074217754593947006602e10c3&utparam=%7B%22aplus_abtest%22%3A%22c6ebfcca6128ecb9296df950ac264778%22%7D&spm=a21n57.1.item.7,5510280330659,https://s.taobao.com/search?page=1&q=%E5%87%89%E9%9E%8B&spm=a21n57.1.search_manual.0&tab=all,2026-04-06 15:10:35.317,1
凉鞋,回头客30万摩偲旗舰店,https://store.taobao.com/shop/view_shop.htm?appUid=RAzN8HWMx3XpvMneSu1s1tM2RkqimobE4sg99KCoeTVzBXWP2GC&spm=a21n57.1.item.8,浙江台州,厚底银色凉鞋女款2026新款夏季配裙子休闲运动脚宽胖沙滩罗马凉鞋,¥69.8,1000+人付款,https://g-search2.alicdn.com/img/bao/uploaded/i4/i1/2200827962997/O1CN01zCl2gH1Y0fxk6XMgX_!!0-item_pic.jpg_360x360q90.jpg_.webp,https://detail.tmall.com/item.htm?id=789075017863&ns=1&abbucket=12&xxc=taobaoSearch&mi_id=00002byIKPYA9mqXRQUhZ3UWe_NMm9NtdADyb9eegWFu70M&skuId=5555367459308&priceTId=213e074217754593947006602e10c3&utparam=%7B%22aplus_abtest%22%3A%22c00064d00de232077f14609a809e8ac5%22%7D&spm=a21n57.1.item.8,5555367459308,https://s.taobao.com/search?page=1&q=%E5%87%89%E9%9E%8B&spm=a21n57.1.search_manual.0&tab=all,2026-04-06 15:10:35.363,1
凉鞋,回头客10万太子纳旗舰店,https://store.taobao.com/shop/view_shop.htm?appUid=RAzN8HWSZ4sUgSKERjGbK2hHUJt53iTFQam7F4H2aSamEPGj5jk&spm=a21n57.1.item.9,浙江金华,厚底两穿凉拖鞋女夏季外穿网红ins洞洞鞋踩屎感户外沙滩凉鞋女夏,¥15.21,6000+人付款,https://g-search3.alicdn.com/img/bao/uploaded/i4/i4/2636768098/O1CN01Qy7z8829gwAhLq5Pv_!!0-item_pic.jpg_360x360q90.jpg_.webp,https://detail.tmall.com/item.htm?id=707345061815&ns=1&abbucket=12&xxc=taobaoSearch&mi_id=0000r2dnfZYk7ccUDImZopbWBgTsvK86v53XvBhCm1Up378&skuId=5040127932699&priceTId=213e074217754593947006602e10c3&utparam=%7B%22aplus_abtest%22%3A%22f984a83c9615abcbd90ea064c4db0d58%22%7D&spm=a21n57.1.item.9,5040127932699,https://s.taobao.com/search?page=1&q=%E5%87%89%E9%9E%8B&spm=a21n57.1.search_manual.0&tab=all,2026-04-06 15:10:35.410,1
凉鞋,艺芍旗舰店,https://store.taobao.com/shop/view_shop.htm?appUid=RAzN8HWUwFjLYJ92sf28FCvAj2enL8d5p5fBPwa2uFu2sEqowFE&spm=a21n57.1.item.10,浙江台州,仙女风沙滩平底凉鞋2025夏季新款网红时尚水钻蝴蝶结罗马夹趾凉鞋,¥39.9,80人付款,https://g-search1.alicdn.com/img/bao/uploaded/i4/i2/2218972365280/O1CN01EHck501osIGb74uh7_!!4611686018427380192-0-item_pic.jpg_360x360q90.jpg_.webp,https://detail.tmall.com/item.htm?id=896609242748&ns=1&abbucket=12&xxc=taobaoSearch&mi_id=0000IeOVMMOg_fLKHe1c3Ft7AGcFGWUZb6X5Le_o9pNBXo8&skuId=5748683592005&priceTId=213e074217754593947006602e10c3&utparam=%7B%22aplus_abtest%22%3A%2213e19713ea7cac32e38a48b9ad9fa493%22%7D&spm=a21n57.1.item.10,5748683592005,https://s.taobao.com/search?page=1&q=%E5%87%89%E9%9E%8B&spm=a21n57.1.search_manual.0&tab=all,2026-04-06 15:10:35.460,1
